"","CK07","CK08","CK09","CK10","CK11","CK12","D01A1","D01A2","D01A3","D01A4","D01A5","D01A6","D02A1","D02A2","D02A3","D02A4","D02A5","D02A6","D03A1","D03A2","D03A3","D03A4","D03A5","D03A6","D04A1","D04A2","D04A3","D04A4","D04A5","D04A6","D05A1","D05A2","D05A3","D05A4","D05A5","D05A6","D06A1","D06A2","D06A3","D06A4","D06A5","D06A6","D07A1","D07A2","D07A3","D07A4","D07A5","D07A6","D08A1","D08A2","D08A3","D08A4","D08A5","D08A6","D09A1","D09A2","D09A3","D09A4","D09A5","D09A6","D10A1","D10A2","D10A3","D10A4","D10A5","D10A6","D11A1","D11A2","D11A3","D11A4","D11A5","D11A6","D12A1","D12A2","D12A3","D12A4","D12A5","D12A6","D01B1","D01B2","D01B3","D01B4","D01B5","D01B6","D02B1","D02B2","D02B3","D02B4","D02B5","D02B6","D03B1","D03B2","D03B3","D03B4","D03B5","D03B6","D04B1","D04B2","D04B3","D04B4","D04B5","D04B6","D05B1","D05B2","D05B3","D05B4","D05B5","D05B6","D06B1","D06B2","D06B3","D06B4","D06B5","D06B6","D07B1","D07B2","D07B3","D07B4","D07B5","D07B6","D08B1","D08B2","D08B3","D08B4","D08B5","D08B6","D09B1","D09B2","D09B3","D09B4","D09B5","D09B6","D10B1","D10B2","D10B3","D10B4","D10B5","D10B6","D11B1","D11B2","D11B3","D11B4","D11B5","D11B6","D12B1","D12B2","D12B3","D12B4","D12B5","D12B6"
"29331-92-8",-2.19422783940086e-06,-3.43978555260087e-07,-7.60105866114529e-07,8.54165518634855e-07,-9.64549375890945e-07,-3.41461979529545e-07,5.20000043486927,5.20000073520454,5.20000052369497,5.1999998454757,5.19999920112734,5.1999991619404,6.30000117156241,6.30000073673394,6.3000000330379,6.29999971725027,6.3000012484927,6.30000134431012,5.10000091462541,5.09999894050821,5.09999941080473,5.10000103655008,5.0999984050054,5.1000010405206,2.90000018185103,2.89999922195833,2.89999991966798,2.89999916058936,2.90000140223803,2.90000186162614,4.09999902380166,4.09999988507381,4.09999912870439,4.1000010249987,4.10000002482633,4.09999879308471,5.29999987764899,5.29999925431692,5.29999948657733,5.30000045093825,5.29999772463832,5.30000090848885,3.40000106312855,3.40000128690842,3.40000007455725,3.40000004041289,3.3999973849357,3.39999917178404,6.09999950052172,6.09999979105696,6.10000116416727,6.09999954746041,6.10000013009296,6.10000113743983,3.19999780431804,3.20000227423414,3.20000005131444,3.2000016450082,3.1999999181833,3.20000014412259,6.19999859949644,6.19999978623391,6.20000039844256,6.20000113852025,6.19999991379871,6.20000083732048,-5.1078955394028e-07,-1.01843403300058e-06,2.64216256036607e-06,-9.60162511485866e-07,-5.45905327116998e-07,1.87060156061307e-06,4.19999987759211,4.20000007339414,4.20000011900288,4.19999981587987,4.19999906033722,4.19999950307658,5.19999894638256,5.19999983143386,5.20000044872972,5.20000071011241,5.19999947851743,5.2000001801647,6.29999920754705,6.30000019706293,6.30000030352205,6.30000037293387,6.30000140026527,6.29999906593015,5.10000093446226,5.10000062676196,5.10000009588993,5.10000034764278,5.09999851285127,5.09999965803465,2.90000038962613,2.90000119302964,2.89999960451872,2.90000036101575,2.89999879833086,2.90000076538354,4.09999976156447,4.10000221978378,4.09999959485523,4.09999887289771,4.09999995535116,4.10000078660639,5.30000035475368,5.29999965992893,5.30000117110392,5.30000143064739,5.2999993903554,5.30000096126955,3.40000029112165,3.39999989366218,3.40000032295921,3.40000037503426,3.40000061562818,3.39999969341187,6.10000008536185,6.10000104862213,6.10000025542927,6.10000087437554,6.10000095068894,6.10000058981413,3.20000132396609,3.19999868698152,3.2000017450074,3.20000048331511,3.2000015133766,3.19999896879594,6.20000004149508,6.19999883009227,6.20000196870483,6.20000052693718,6.20000072991834,6.19999902823277,2.91218925540621e-07,2.01112127587942e-06,-8.40879519233893e-07,2.60120226143942e-07,1.02927216931026e-06,-1.2437114886287e-06,4.1999987147133,4.20000024892801,4.19999912241137,4.20000117116418,4.19999965126401,4.19999925537798
"58955-93-4",6.98633741675828e-08,5.12117404176337e-07,2.92515730683769e-08,4.74002872423336e-07,2.88066008326669e-07,1.68880736938437e-06,29.6999996045334,29.6999995201149,29.7000011242156,29.7000003728183,29.7000023865582,29.7000000088376,30.8000002908462,30.8000007227798,30.8000013432615,30.8000001361629,30.8000008466339,30.7999998163974,23.7000009002562,23.7000001837327,23.6999985040072,23.7000009058276,23.7000008915701,23.7000007059095,20.5999989761289,20.6000012570933,20.6000005740491,20.6000009481864,20.6000008395532,20.6000011221441,34.000000573537,34.0000000877213,33.9999991605146,33.9999986720598,34.0000009677242,33.9999998541218,39.5000011700299,39.5000001472169,39.5000006175225,39.499999612373,39.5000000533198,39.5000003742392,31.8999991434832,31.8999986300212,31.9000011801623,31.9000004266378,31.8999986313909,31.8999995220335,43.7000007625362,43.6999993773688,43.6999993117974,43.6999998094812,43.6999982845578,43.6999989042079,29.9999993026987,30.0000013421607,29.9999987026039,29.9999984290177,29.9999998109072,30.0000009806234,47.1999988986822,47.1999983000419,47.1999997638994,47.1999997113559,47.1999994966162,47.1999998439338,2.48053395543002e-08,-3.77323954103632e-07,-1.08739828987022e-06,-1.36243180465173e-06,-8.82078329095909e-07,7.96841746765952e-07,42.5000007722848,42.500000303136,42.4999973229669,42.5000005206573,42.5000024788298,42.4999977450788,29.7000005886759,29.7000001932856,29.7000000711734,29.6999991520768,29.6999998289204,29.7000005736911,30.7999990478868,30.7999993453694,30.8000011337831,30.7999989033346,30.7999995524208,30.7999981834131,23.7000008912779,23.699998569964,23.700001163204,23.6999996711029,23.7000005231234,23.6999997622123,20.600000468225,20.5999986030887,20.5999990011672,20.6000004813491,20.6000004058961,20.5999983460858,34.0000009081455,33.999998878365,34.0000001732643,34.0000011279908,34.0000014078018,33.9999995771914,39.4999994944557,39.4999997181367,39.4999987678537,39.5000013113549,39.4999995359734,39.5000001426594,31.9000005369439,31.8999992588291,31.9000015946049,31.89999982585,31.90000020606,31.9000012206575,43.7000018140747,43.7000007528012,43.6999999509861,43.6999995818074,43.7000000557761,43.7000015039384,30.000000382087,30.0000000458619,30.000000989376,29.9999981999682,29.9999984558957,29.999999796859,47.2000000859108,47.2000015876442,47.2000007538033,47.1999994833763,47.2000003300907,47.1999998774991,-4.55243180805341e-07,6.5965510286805e-07,-2.03365012498637e-06,6.56794842059626e-07,-7.24163703414844e-07,7.06448666725421e-07,42.4999996282477,42.5000021491037,42.4999998163284,42.5000000670265,42.4999992887557,42.4999983788328
"95-14-7",1.28502678037579e-06,-6.212561459238e-07,6.63634270132064e-07,6.84659299509014e-07,5.2704752298226e-07,5.89737227532965e-07,77.1000014501642,77.0999978153557,77.0999993189292,77.1000003871944,77.0999993028244,77.1000005076791,48.400001225531,48.4000017681236,48.3999994864165,48.4000003663425,48.3999991153649,48.4000012847306,28.4999990838083,28.4999989926064,28.5000008697224,28.4999992947251,28.4999985436832,28.500000284554,15.5999983220822,15.5999989876369,15.5999991769216,15.6000007931584,15.5999977949186,15.6000005494073,68.2999989725812,68.3000003231763,68.3000003830735,68.3000003690183,68.3000010368461,68.2999996017844,48.6999995839032,48.7000001039903,48.6999999815918,48.6999987957576,48.6999968256229,48.699998093455,47.3000005501796,47.3000003084138,47.3000001102118,47.2999999231114,47.3000006557052,47.2999994548515,56.6999994777241,56.7000017902418,56.6999995865354,56.70000123485,56.6999988821163,56.6999983619275,41.3000000451183,41.2999996523425,41.2999991778742,41.3000006827004,41.2999994297059,41.3000015173051,53.5999990384749,53.6000007318832,53.5999996224541,53.5999994606671,53.5999987018238,53.5999992511293,1.33915988721915e-06,9.10759828420568e-07,-8.80261082350492e-08,1.60661445257831e-06,-1.47796371750567e-06,-1.07219222833465e-07,67.8999990507289,67.899999207762,67.8999987762713,67.900001256613,67.899999777988,67.900000665078,77.0999998548651,77.1000019834649,77.0999979263948,77.0999975058534,77.0999997412364,77.0999990319539,48.4000003203941,48.4000016832609,48.3999987767302,48.3999998865267,48.4000011607687,48.3999992121594,28.4999996465459,28.500000539971,28.4999993193379,28.5000013556879,28.50000091066,28.4999997285726,15.5999996595429,15.599999423019,15.5999999781518,15.6000007293451,15.600000177118,15.600000584954,68.300000321032,68.2999990479606,68.3000002614968,68.2999986622046,68.2999998767266,68.2999994047784,48.7000023835181,48.6999996286659,48.7000001669497,48.7000008138766,48.6999994681258,48.70000013831,47.3000029733732,47.3000002087488,47.3000012131502,47.2999985289651,47.2999986145931,47.2999983820945,56.6999995380458,56.7000006041745,56.7000007166528,56.7000010532649,56.7000000750189,56.7000007263439,41.2999996354538,41.2999990114042,41.2999989563458,41.300000082986,41.3000001206411,41.2999996717881,53.6000006621431,53.5999983035529,53.5999979695152,53.5999997968478,53.5999989000238,53.600000777569,-1.41346590396743e-06,1.17368878075351e-06,-8.14309085803083e-07,-1.18022891205059e-07,8.76913418347948e-07,1.40955972219641e-06,67.9000008398301,67.9000009783753,67.8999995598249,67.899999412122,67.8999991022657,67.9000003323612
"615-22-5",-1.06177326733476e-06,8.24907823116832e-07,8.42923919364534e-07,1.23393040169597e-06,-4.88391390370023e-07,-1.22109499614019e-06,4.09999955019844,4.09999881473085,4.10000180463023,4.09999969779712,4.09999934823247,4.10000047456805,1.70000068130487,1.70000239497487,1.69999919532352,1.70000041778413,1.69999909655159,1.70000198424809,1.5000006790033,1.50000156534719,1.50000040556333,1.49999965126486,1.49999890040472,1.50000290676669,1.69999928081253,1.69999644687804,1.69999857483613,1.7000005917899,1.69999993605989,1.70000118927535,2.90000043709325,2.89999940941128,2.89999990692499,2.89999914022598,2.90000033473792,2.89999846671158,2.30000045904601,2.29999991158961,2.30000094130076,2.30000152556014,2.30000057882313,2.30000017406835,2.69999909964126,2.7000006376237,2.6999989855282,2.70000030496882,2.69999844532551,2.69999968074807,1.40582712855197e-06,-3.58780151412827e-07,-1.45993337922627e-06,-1.102629237951e-06,7.31746653948959e-08,-1.88840161945182e-07,2.00000170962258,2.00000084002103,1.99999975374493,1.99999827165898,2.00000059388813,1.99999982077426,-6.75196395959995e-07,2.06384021478158e-07,-5.54870303364728e-07,-4.47965790178058e-07,1.94866065974097e-06,1.50699579829922e-06,-6.34281119046284e-07,1.37596672005858e-06,-2.58069227843238e-07,1.14552108126169e-06,9.76124020593545e-07,1.26343873810247e-06,2.59999923010769,2.6000001259256,2.59999952837071,2.59999952378066,2.60000132839888,2.59999883316413,4.10000047041559,4.09999936042604,4.10000231357449,4.09999936512209,4.09999957191294,4.10000276748137,1.69999962715253,1.69999994695609,1.70000229885942,1.70000062756829,1.70000008450656,1.70000109101242,1.50000059380312,1.49999983152243,1.50000179145702,1.50000010078474,1.50000001812501,1.50000023301274,1.70000037769535,1.70000065781732,1.70000063891611,1.69999887538781,1.6999984318599,1.70000255523669,2.90000131852724,2.90000008476011,2.8999981411311,2.90000013768096,2.90000044018087,2.90000005932125,2.30000049496977,2.30000071136124,2.3000008097253,2.2999998080073,2.30000009207331,2.30000129522538,2.70000104000541,2.69999810107556,2.69999879822817,2.70000002609853,2.699999891418,2.70000037776531,1.04270890644784e-06,1.07759056618513e-06,-2.23572269256354e-06,-1.3768167135088e-06,1.08022251813924e-06,9.17309392193354e-07,1.99999833813712,1.99999923328483,1.99999899804999,2.00000126655164,1.99999944982319,1.99999915366104,-3.90559778083121e-07,-5.27938586263931e-07,-1.05529823724296e-06,-1.69550744798177e-06,8.00117652031793e-07,-6.1973954416135e-08,-6.6542767648423e-07,-1.04579543573934e-06,1.0393417937229e-06,1.08861495578295e-06,-5.48667295068035e-07,-8.10091746439679e-07,2.60000095973356,2.6000002253535,2.59999799042229,2.59999827278468,2.59999753900058,2.60000002998625
"941-57-1",9.45307574716132e-07,-4.62814350742141e-07,1.66308707640119e-06,-3.33170797252013e-07,8.26879010112524e-07,-1.52676419595562e-06,119.100000443925,119.100001224686,119.099999885925,119.099999908972,119.100000457005,119.100000585599,119.100002581232,119.100000059185,119.099998854162,119.100000711399,119.099998557302,119.100001151225,56.6000002456507,56.60000197332,56.5999988003804,56.5999996171838,56.6000015992631,56.6000016215963,32.0999991113613,32.1000017998695,32.1000018815535,32.1000014577514,32.1000002516889,32.1000008280927,116.499999452758,116.500000512738,116.50000018036,116.500000514003,116.500001332222,116.499999442224,63.8000016317412,63.7999998153908,63.8000014826103,63.7999972644228,63.7999992132728,63.7999977256985,66.4999988162463,66.5000001327092,66.5000000883774,66.4999993692412,66.5000014256062,66.4999993448677,70.9000018666294,70.8999994623726,70.9000007021538,70.8999990004928,70.899999954033,70.8999986235274,44.899999458337,44.8999986065493,44.899997896306,44.8999979433281,44.9000013629672,44.9000010500427,44.3999989648949,44.3999999495572,44.3999993669716,44.4000005484193,44.3999992479941,44.4000004869179,4.4000005281411,4.399998596911,4.39999894365048,4.40000074047903,4.4000007050106,4.39999989531543,96.3999983201752,96.3999988130311,96.4000008377969,96.4000000326917,96.4000003296877,96.4000008869179,119.099998744159,119.099997984302,119.099999981148,119.100001010968,119.099999028446,119.100000522985,119.099997956579,119.099998996252,119.100002006576,119.099999709975,119.100001409602,119.10000074761,56.5999997596692,56.600000145172,56.5999992613223,56.6000008227082,56.5999994657544,56.6000008234959,32.0999991266481,32.0999997871871,32.0999992976534,32.0999976605485,32.0999991465901,32.1000002738318,116.500002339432,116.499999576545,116.499999482027,116.500000889238,116.500002489341,116.500000312905,63.7999999642612,63.8000006824422,63.7999987026423,63.8000002514312,63.800001906347,63.7999997983055,66.4999993306665,66.5000006035691,66.499999363384,66.4999986915088,66.5000006163586,66.5000000438976,70.9000015235658,70.9000012577317,70.8999990133096,70.9000010387639,70.9000003103817,70.899999790354,44.8999998983332,44.8999992321151,44.9000009242445,44.8999999969905,44.8999996144876,44.8999998617668,44.400001478436,44.3999999580797,44.4000008416922,44.3999999565153,44.4000003663453,44.3999991575002,4.39999857487251,4.39999930549517,4.4000003121761,4.39999824392479,4.40000090975692,4.40000054720738,96.3999982100875,96.4000011561146,96.3999994127002,96.3999988897924,96.3999997889807,96.3999988289918
"68011-66-5",9.52419009625188e-08,4.19584360706259e-07,6.38759356754537e-07,1.75369829167584e-07,-1.40009526881979e-06,-6.09662855112109e-07,4.60000010590805,4.60000054261849,4.60000136131535,4.59999958410248,4.60000022629062,4.59999976006128,3.00000105678653,3.00000025760863,3.00000032389247,3.00000025080573,2.99999953684578,2.99999890695909,4.20000102779141,4.19999959725634,4.20000014560901,4.19999990530432,4.20000050027408,4.20000134328057,2.20000170365759,2.19999815708317,2.20000061006441,2.20000075688362,2.20000041097104,2.20000082202676,5.70000107806865,5.69999970087553,5.69999948059271,5.69999865360355,5.69999916446705,5.69999950929452,5.10000022561995,5.09999950851573,5.10000096392028,5.09999985380406,5.09999892209341,5.09999821290867,4.80000069705083,4.80000000397283,4.80000136892908,4.80000003062847,4.79999988868973,4.80000051629515,6.39999998878743,6.40000002092273,6.40000082890844,6.40000089748189,6.40000104670166,6.40000039387089,3.80000249084083,3.79999962867039,3.80000028204822,3.80000122716123,3.80000035120396,3.80000041188448,6.89999955790475,6.90000126715483,6.89999973577523,6.90000041164309,6.90000180631094,6.89999985676013,2.66064008584264e-06,7.23068550993423e-07,1.42437811640293e-06,1.83445755148936e-06,4.53755711432809e-07,5.52596064020201e-07,6.600000476531,6.5999996819044,6.59999860846928,6.59999933779572,6.59999875731884,6.6000001330727,4.60000086536572,4.5999997902982,4.59999952973747,4.59999797578148,4.60000041299833,4.59999869609612,3.00000048148091,2.99999995215762,3.00000065591989,3.000000614137,2.99999775424446,3.00000086711335,4.20000051855583,4.20000110831401,4.19999903251307,4.20000287097701,4.19999764795252,4.19999972525198,2.20000059666969,2.20000003184383,2.19999814673664,2.20000216354354,2.19999933453146,2.20000192789675,5.70000175650409,5.69999896173489,5.69999998812427,5.69999894883517,5.69999895201321,5.69999990204106,5.09999916084849,5.09999923062619,5.09999954761355,5.10000135065275,5.0999998126932,5.10000025025053,4.80000007901276,4.79999874425444,4.80000003200241,4.80000070294031,4.80000132396743,4.79999921084076,6.39999995016426,6.40000003733466,6.40000035239652,6.39999970468595,6.40000014381578,6.40000000255757,3.8000003119442,3.79999956016668,3.79999727452018,3.79999991917543,3.80000097975716,3.79999962329606,6.90000084798457,6.90000015066249,6.89999954135111,6.89999952551176,6.89999929313539,6.89999773966971,-5.02281983199607e-07,-1.74330422690032e-06,-4.24879533442412e-07,-5.23652512398901e-07,-3.17948371773301e-07,-1.99677056284338e-06,6.59999902136397,6.59999932494009,6.60000022446022,6.60000022037626,6.60000095293369,6.60000142292341
"94-75-7",-8.74381153352063e-07,-2.19156354232996e-07,-3.66335986932284e-07,-1.92508187691674e-06,9.12366915107823e-07,-2.56390872743106e-06,1.59999947213468,1.59999991799473,1.59999853298127,1.60000153379102,1.60000086545651,1.59999862693599,1.8307519812666e-06,1.77649739106789e-06,-1.52698031112883e-06,5.77520884942981e-07,4.36678328366922e-07,1.85427871721476e-07,1.39999855992388,1.39999972374342,1.39999920625516,1.40000108306077,1.40000024727367,1.39999971475105,1.50000100743191,1.49999840322558,1.50000015623426,1.49999918404708,1.50000009242437,1.49999926836404,1.60000181833702,1.59999951000009,1.60000031949252,1.59999928353515,1.60000061332655,1.59999977040135,1.39999944004151,1.4000005206854,1.40000070276973,1.39999906422539,1.40000041247913,1.40000075124063,1.4999995059013,1.49999943533773,1.49999938887924,1.49999983173674,1.50000017087072,1.49999865127085,1.39999937436348,1.39999920843477,1.39999850580258,1.40000030566928,1.40000133037539,1.39999824480505,1.39999878783747,1.40000071773759,1.3999978150875,1.40000019835527,1.39999960504027,1.39999870214889,1.39999849347753,1.40000077327174,1.39999975611985,1.40000222378068,1.3999996782803,1.40000014807821,1.39999993019349,1.39999910833574,1.40000037424525,1.40000000451778,1.39999995978748,1.39999923187437,-4.83819645983893e-07,3.53786622367239e-07,9.77402393880028e-07,7.67785132874081e-07,-2.57850272021352e-07,-7.53463374053824e-07,1.60000014022892,1.59999871811985,1.59999954251529,1.5999996280567,1.60000024245227,1.5999986584216,-8.15892794649811e-07,-3.26252188165959e-07,-1.02088256996953e-06,6.41986967125668e-07,-4.31284820358393e-07,8.87140878737415e-07,1.39999923918163,1.39999992458893,1.40000021431005,1.40000061779377,1.40000059149553,1.40000175945968,1.49999942192729,1.50000027110704,1.49999885234963,1.49999916943786,1.50000051338749,1.49999956027534,1.59999847235186,1.60000101907776,1.60000084599031,1.60000062187028,1.60000074273759,1.60000032668723,1.39999955077437,1.39999907562727,1.39999885891004,1.39999667326365,1.39999963753641,1.39999979447766,1.50000057543676,1.50000066983325,1.50000019880287,1.50000090488454,1.49999965603136,1.49999894173104,1.39999983112979,1.40000030469047,1.40000080799084,1.39999921531196,1.40000019371939,1.40000008147117,1.39999969492373,1.40000092776053,1.40000157387548,1.4000014185719,1.40000051769795,1.39999986077176,1.39999897519651,1.39999973196064,1.3999998447922,1.39999861552242,1.39999984338879,1.39999975598989,1.39999959233922,1.39999933196102,1.39999999041979,1.40000003080981,1.40000033687628,1.40000068971324,3.01346917774194e-08,-8.46048850872893e-07,-1.4631242035349e-07,-1.23679932242199e-06,-1.25861680627433e-06,-1.1710666455039e-06
"51-28-5",-7.96721789471909e-07,5.20726207545508e-07,-8.02953554345842e-08,-6.87746211822324e-07,7.9484307107075e-07,4.92518726897504e-07,5.59999828569121,5.60000058151259,5.60000077203472,5.59999996186514,5.59999857240581,5.60000004565859,7.49999912290266,7.50000134907062,7.499999104195,7.50000019712843,7.50000029463622,7.50000066161432,3.49999889156715,3.49999901454331,3.50000014814783,3.49999908031644,3.50000088049804,3.50000126457166,4.10000090793713,4.10000063675913,4.09999992815843,4.09999957457317,4.09999978374209,4.09999982481456,7.69999949870247,7.69999979735062,7.69999960063884,7.69999964164801,7.69999916380533,7.6999992924959,3.99999932743958,4.00000114554049,4.00000062355033,4.00000079681648,3.99999942948855,4.00000095959954,4.90000087363855,4.89999737063439,4.89999888934551,4.8999993062991,4.90000037042239,4.89999865060414,4.60000019232032,4.59999966044388,4.59999881206722,4.5999998984423,4.60000151468798,4.59999896672829,4.30000055982786,4.30000147690781,4.29999872741305,4.29999980524708,4.30000174413027,4.29999874821616,-7.99986795169234e-07,1.02627042080212e-06,-1.02689594018776e-06,3.69915518113885e-07,-1.26035499108203e-06,8.68638733714916e-07,3.2000013813018,3.19999988423958,3.19999965519261,3.20000091258414,3.19999911145023,3.20000015041922,5.19999904296971,5.19999926598408,5.20000216114773,5.19999893776008,5.20000051497319,5.19999900041694,5.59999774284694,5.59999767263479,5.6000002440459,5.59999955628293,5.6000013385319,5.59999989548546,7.49999998275414,7.50000076125017,7.4999993520519,7.50000004729475,7.49999947175148,7.5000006319132,3.49999836730542,3.50000066191518,3.49999969161583,3.50000032533768,3.50000149039186,3.49999887701618,4.09999934283892,4.09999897874512,4.09999572321203,4.10000195472984,4.09999934433007,4.1000004243299,7.6999999182568,7.70000018740231,7.69999973813124,7.70000031398655,7.69999772939871,7.69999970834551,3.99999973278576,3.99999931592737,3.99999845344256,4.00000109553032,4.00000154570967,4.0000012222334,4.89999781054786,4.89999964913957,4.90000001122015,4.900000504007,4.89999853332864,4.89999988271747,4.59999857345532,4.59999688968722,4.59999951451762,4.60000006221145,4.60000077490768,4.59999895615024,4.30000177292475,4.29999974290512,4.30000097844447,4.29999911250625,4.30000211164385,4.30000122134032,-8.34550358129488e-07,1.78414894862934e-06,-2.637637597315e-07,-1.1769982648791e-06,-5.78034427819177e-07,-1.58493374157977e-06,3.19999902543998,3.19999910194481,3.20000017066423,3.20000022195109,3.20000106706635,3.20000156509518,5.19999884457028,5.19999848042804,5.20000245255058,5.20000023191163,5.19999897526754,5.20000011779213
"136-85-6",2.38452505862526e-06,8.03004740949864e-07,4.50000167875895e-07,2.22094763036361e-07,2.1952509560885e-07,-8.63884557273544e-07,75.2000000102369,75.1999993873196,75.1999973480229,75.2000014325842,75.2000021469191,75.1999996993211,32.3000006093769,32.3000014465645,32.3000011901227,32.3000000714505,32.2999993462905,32.2999988773564,19.7999986517548,19.800000605461,19.7999991429698,19.7999998077023,19.8000009813617,19.8000003119099,11.0999995660917,11.1000003820996,11.1000002981744,11.1000005418347,11.0999997471565,11.0999991155261,57.5000006125153,57.4999998294221,57.4999998692141,57.5000018845273,57.4999991520368,57.4999996291409,28.500000462085,28.4999998173521,28.5000002604973,28.499998713897,28.4999999084222,28.499999183445,32.9999989922631,32.9999995392033,32.9999990749136,32.9999988149916,33.0000001876508,33.0000017375131,42.6000002324415,42.6000024413327,42.6000012089028,42.5999996917503,42.6000001204351,42.6000011484021,35.9000004501713,35.8999971140977,35.9000010114162,35.8999995622642,35.9000013055081,35.9000005085105,50.3000008637776,50.2999983335322,50.3000006968005,50.2999986837196,50.2999990872337,50.3000015271415,-2.16270888512728e-06,-5.96708682872994e-07,-8.54091410714411e-07,-8.55090000703564e-07,-1.14663656224276e-06,-5.66734609026032e-07,65.5000020317803,65.4999997320026,65.4999993082169,65.4999996511489,65.4999994714915,65.4999988263738,75.1999983051536,75.2000008614346,75.1999999969288,75.1999993201304,75.2000002461887,75.2000007691814,32.2999986662932,32.3000003628889,32.300000100533,32.2999991929449,32.2999994091496,32.2999992491292,19.7999987061417,19.7999989378927,19.8000009300173,19.8000023396532,19.8000000799369,19.8000008112543,11.0999996360888,11.0999993714518,11.0999992147437,11.1000005593721,11.0999994509006,11.1000004544286,57.5000023816625,57.4999997899198,57.4999998858529,57.4999998243224,57.499999623277,57.5000000987894,28.4999989559689,28.5000003725591,28.5000005381395,28.4999991224438,28.5000004705906,28.5000006011141,33.0000019839902,32.9999990775258,32.9999984009081,32.9999995308971,33.000000596722,32.9999995246284,42.6000009688842,42.6000016786641,42.5999993670524,42.5999981508883,42.599999069965,42.5999990800082,35.900000700059,35.9000003353294,35.8999994420723,35.9000006968428,35.8999997658286,35.899999616254,50.2999994736293,50.299998309861,50.3000000698406,50.3000003527469,50.3000003661236,50.2999999230646,1.31389042654185e-06,-1.60945293286483e-06,-8.30271529299573e-07,-4.48224822237972e-07,8.63792586226196e-07,-8.5705546069891e-07,65.500002313857,65.4999991145666,65.4999994192978,65.500000993351,65.5000014984765,65.5000002628878
"33665-90-6",-6.17005889397889e-07,-1.1695500737895e-06,-7.49870754521307e-07,8.53805442916088e-07,1.57510955201338e-06,-5.14321743493207e-07,336.000000667111,335.999999385197,335.999998733636,336.000000724179,336.000000154436,335.999998275329,333.700001393244,333.699999513115,333.70000054015,333.699999110712,333.700002006338,333.699999604193,129.099999124796,129.100000176929,129.10000028664,129.100000015319,129.100000476792,129.100000311911,58.5999987315757,58.599999668841,58.6000002291774,58.6000011076279,58.5999993033339,58.60000131612,340.800000242527,340.800000247582,340.800000205643,340.800000085806,340.800000737166,340.800000914976,296.399999758262,296.400000255203,296.399998197716,296.399999232218,296.399999253034,296.400001490461,323.299999391384,323.299999369465,323.300000424199,323.300001192556,323.299999626945,323.30000052992,163.999999655598,164.000000171849,163.99999928043,164.000000192015,164.000000733718,164.000001041323,111.799997964311,111.799998820141,111.800000523603,111.799998684653,111.800000441276,111.800001181538,155.499999191016,155.500001540796,155.500001118635,155.500000475519,155.499999858148,155.500000286089,114.800001118226,114.799999045043,114.799999969805,114.800001824545,114.799999642315,114.800001005092,468.900000265281,468.899999705479,468.900000404955,468.899999411944,468.899998956979,468.900000339379,335.999998248253,336.000000109892,335.99999788234,336.000000448946,335.99999895715,335.999999854127,333.699999839174,333.699999642752,333.699998650642,333.699999746508,333.700002369986,333.700001650087,129.09999909915,129.100001394909,129.099999401916,129.100001584866,129.099999501529,129.100000380326,58.600000889526,58.5999990816882,58.5999989680817,58.6000004414338,58.6000012491867,58.6000003918699,340.800000001635,340.799999223198,340.800000274288,340.799998920846,340.799999097796,340.799999151699,296.400000950822,296.399999403359,296.400000663186,296.400001220849,296.399999797696,296.400000358643,323.30000112884,323.300000826954,323.300000166065,323.300000830285,323.300000582712,323.299999808905,164.000000029703,164.000000300828,164.000000593845,164.000000456723,164.000001480743,163.999999646466,111.800000333467,111.799999171697,111.800000529001,111.800000005043,111.800000154485,111.799999322547,155.50000015303,155.500001676318,155.49999892004,155.499999658877,155.500001779913,155.499999740542,114.79999869792,114.799999530607,114.800000195892,114.799998493484,114.800001707337,114.79999898985,468.900000711286,468.899999343305,468.900001698151,468.900001048153,468.900001525926,468.899996943454
