,mz,CK07,CK08,CK09,CK10,CK11,CK12,D01A1,D01A2,D01A3,D01A4,D01A5,D01A6,D01B1,D01B2,D01B3,D01B4,D01B5,D01B6,D02A1,D02A2,D02A3,D02A4,D02A5,D02A6,D02B1,D02B2,D02B3,D02B4,D02B5,D02B6,D03A1,D03A2,D03A3,D03A4,D03A5,D03A6,D03B1,D03B2,D03B3,D03B4,D03B5,D03B6,D04A1,D04A2,D04A3,D04A4,D04A5,D04A6,D04B1,D04B2,D04B3,D04B4,D04B5,D04B6,D05A1,D05A2,D05A3,D05A4,D05A5,D05A6,D05B1,D05B2,D05B3,D05B4,D05B5,D05B6,D06A1,D06A3,D06A4,D06A5,D06A6,D06B1,D06B2,D06B4,D06B5,D06B6,D07A1,D07A2,D07A4,D07A5,D07A6,D07B1,D07B2,D07B3,D07B4,D07B5,D07B6,D08A1,D08A2,D08A3,D08A4,D08A5,D08A6,D08B2,D08B3,D08B4,D08B5,D08B6,D09A1,D09A2,D09A3,D09A4,D09A5,D09A6,D09B1,D09B2,D09B3,D09B4,D09B5,D09B6,D10A1,D10A2,D10A3,D10A4,D10A5,D10A6,D10B1,D10B2,D10B3,D10B5,D10B6,D11A1,D11A2,D11A3,D11A4,D11A5,D11A6,D11B1,D11B2,D11B3,D11B4,D11B5,D11B6,D12A1,D12A2,D12A3,D12A4,D12A5,D12A6,D12B1,D12B2,D12B3,D12B4,D12B5,D12B6
75_02526269,75.02526269,8.233622825,8.122893702,8.579797097,8.173852743,8.165939266,7.693502925,7.965157038,8.880905316,8.835179496,8.038811774,8.050888545,7.860509976,7.887332098,7.838068425,8.133957517,8.162578539,7.812491081,8.387174513,8.12789603,8.073675971,9.617925986,7.78417491,8.685233786,8.265542531,8.368196913,8.197717149,7.948457286,7.826902441,8.165818277,7.7950799,7.783248793,8.352453658,7.856793903,8.25959837,8.028736281,7.982696753,7.937203093,7.881641407,8.559921317,7.955516198,7.8143885,7.852567106,8.005973394,8.464959098,7.807410386,7.871803325,8.263266294,8.341614071,8.052270591,8.126055985,8.214312756,8.160797915,7.779651069,8.345432345,8.246027216,8.075965598,8.806015052,8.519821291,8.366295912,7.991606482,8.474459162,7.995874955,8.083521078,8.159819723,7.881386252,7.803872473,8.180956467,8.058155253,8.043550444,7.875507003,8.783044587,7.974595479,8.329049105,8.333009213,7.869471442,7.680398871,7.933400837,8.120115752,7.797718846,8.251008177,8.200221284,7.695479632,8.321014629,8.140403217,7.970194887,7.851055109,8.221839106,7.681754391,7.968819347,9.489652204,7.7963898,7.713610769,7.87174286,8.113736808,7.769563609,8.802108863,7.986563575,8.29392928,8.275635188,8.416020641,8.29967042,7.761366127,7.7473307,7.930718163,8.817731934,7.973264177,7.767355412,7.911082271,7.955520465,7.996441463,8.385346933,8.848703906,9.246811981,8.449281979,7.99068661,7.818473957,8.890584561,7.895727141,8.115261844,7.83615618,8.042563899,7.851939191,8.248099173,7.772594737,8.094524839,8.072236419,8.351168896,7.977311271,8.105024179,7.783665476,7.87360672,7.99394742,8.653507448,8.215831487,8.289729935,8.702463356,7.964361729,8.219550328,8.097681931,8.845176851,7.917683592,8.068816044,8.02516566,8.052794127,8.026454461
77_01235688,77.01235688,7.902190395,7.951089116,10.32845648,7.870187212,8.060659465,7.645667746,7.922729284,8.170040754,8.202985796,7.911935648,7.931836185,7.825087721,10.30511387,7.683614875,7.943073379,8.013956895,10.16088135,8.134474191,7.971907444,7.790341167,8.639852188,7.703314471,7.981118171,8.016050286,7.970921607,7.775435567,7.786118501,7.803665883,7.809682792,7.802245409,7.760747138,8.139580525,7.879560359,8.125587632,7.879359161,7.788934566,7.708860042,7.768507209,8.218979732,7.773597173,7.741554554,7.754097529,7.931665844,8.062816161,7.76612476,7.724821046,7.965117553,8.548791945,7.747944416,8.066917254,8.165620615,7.899658189,7.746573325,8.051628945,8.127376591,7.910199198,8.348653824,8.2119404,7.933798858,7.760399998,8.133726337,10.3249508,8.017156522,7.886693401,7.689401143,7.742521924,8.029973439,7.831323782,7.858716444,7.799647756,8.124543209,7.744233488,8.065665395,8.036213727,7.850682296,7.64793532,7.89174871,7.874246456,7.818749001,8.065811,7.9449067,7.728073886,8.233548121,7.794773189,7.835309701,7.866191121,10.1109052,7.67581128,7.74536563,8.845404497,7.779045895,9.961952859,7.757570628,7.701376104,7.748332731,10.34193806,7.750564438,7.769316383,7.891560303,7.912641259,7.798349692,7.690709634,7.711417674,7.826879521,8.879551967,8.034828788,7.693704362,7.747119406,7.840724874,7.842403067,8.205022129,8.006028586,8.572407823,8.142451603,7.736075477,7.805321663,8.464106,7.90091657,7.778826079,10.08811758,7.925393655,10.24850842,7.985600976,7.779503663,7.898085562,7.910152478,7.944797851,7.783798006,7.895104241,7.788655801,7.659443086,7.821808991,8.045614076,7.895774312,8.073257523,8.360804139,8.037446818,8.049912927,7.918187027,10.47193316,7.738317143,8.010006652,7.744552071,7.832776083,7.856522386
78_95837265,78.95837265,8.181199872,8.304093006,8.745672464,8.873102619,9.272211276,10.73088274,7.936676337,8.261842065,8.157338308,8.039740843,8.075824827,8.740030454,8.939277018,8.625611083,8.687599697,8.447840095,11.43092703,8.664546415,8.544708679,7.907413039,8.338945442,8.089168606,8.24073222,8.345033181,8.647827641,8.720935418,8.409151778,8.615303945,7.832268314,9.872400916,8.529529161,8.129574399,10.07139282,8.680006608,9.677997128,8.113784707,8.96979442,8.65048455,8.240061791,8.513436525,10.35747589,8.397396916,8.929625305,8.637464046,8.533242817,8.13549474,8.285990474,9.64137739,10.52008497,8.404990134,8.414459582,8.534916027,8.556094607,8.039474671,8.653781736,8.435002538,8.415252361,8.278681641,7.951606211,8.318182186,8.934765029,10.49978166,8.009197155,8.247853929,10.8456361,9.028912069,7.995187018,8.174000252,8.516534893,8.309690551,8.301702047,8.486670328,8.229271514,8.500712344,8.854807111,9.064095088,9.677867242,8.32873495,8.458364969,9.19853373,9.994416255,10.86207888,8.29095386,7.908320252,10.70121837,9.499523284,10.94027643,8.242452583,7.927368401,8.833199897,8.435964147,10.30695752,8.63151864,10.67586139,8.479203095,10.8621024,8.630523998,11.09914318,8.218019407,8.292735168,8.28190744,8.144782916,9.183074458,10.20818055,9.870085497,8.444373958,8.314139373,8.304278502,8.432652127,8.704919796,8.513940104,8.363174161,8.591182716,8.218099357,9.133065119,8.672474442,8.349874956,8.73808929,10.75983576,8.916190477,8.403040816,10.64535077,8.354125901,8.196611009,8.521494754,8.499508675,8.920113153,9.572789549,8.611587857,8.903806656,9.53244067,9.708430066,8.323750913,9.976230593,8.734745444,8.760998719,8.756884241,8.065783511,9.206802512,8.8680026,8.281803258,8.406478091,8.333454434,11.41086548,7.975068108
80_9161215,80.9161215,8.657757736,9.380312098,8.383867747,8.517170568,8.793738382,8.555114665,8.600364583,8.659504904,8.882524889,8.548421625,8.593641323,8.487478994,8.553039001,8.735216449,8.652998766,8.870469634,8.847763488,8.411614297,8.478542805,8.728328993,8.656275215,8.533350191,8.631386876,8.801883507,8.886170471,9.049173068,8.743718749,8.850308311,9.009385378,8.851312355,8.636948773,8.513161788,8.555643229,8.483360174,8.500994052,8.441399833,8.680833434,8.894027232,8.724858205,8.626700423,8.456087001,8.571275827,8.786510994,8.764242663,8.864268412,8.646180796,8.560462645,8.429167733,8.793998769,8.726652647,8.651130644,8.849567344,8.678346036,8.727861396,8.758304624,8.834429864,8.688952052,8.851175432,8.728472739,8.61726686,9.161429945,8.595398754,8.970239119,9.135127758,8.996952767,8.859733426,8.737949649,8.561560556,8.695198261,8.920649965,8.862367678,8.827282773,8.668197229,8.807682798,8.52218236,8.871237723,8.729338706,8.535080527,8.801451945,8.930892446,8.807425474,8.563297373,8.722649212,8.478373125,8.68472545,8.882464541,8.481067675,8.627840409,8.757151487,8.821152793,8.343857522,8.640758271,8.537882376,8.592486498,8.710436444,8.306685452,8.722486053,8.457361279,8.534473556,8.593006285,8.649016274,8.879933739,8.56531673,8.739402549,8.601634286,8.22936273,8.727152299,8.749949394,8.538352503,8.572414271,8.656389331,8.604327382,8.936688792,8.648348408,8.667511864,8.708496549,9.046843762,8.91759596,8.827087682,8.928554074,8.702097294,8.65127306,8.73586264,8.566222332,8.91008491,8.434755668,8.734959147,8.821624911,8.79662571,8.698543145,8.548302123,8.869484437,8.636494476,8.678582981,8.749049215,8.589490503,8.540422229,8.542884788,8.78553072,8.822052415,8.625261016,8.717088471,8.622975634,9.034426069,8.743196905
88_04013363,88.04013363,8.138148745,8.088045422,7.786582497,8.09091873,8.191440592,8.145275233,7.714118388,7.977745336,7.941982887,7.70708595,7.653673087,8.03677471,7.994849935,7.782260003,7.937274263,7.909250084,7.903356823,7.818909645,7.850177767,7.725220826,7.943736438,7.881838972,8.183547832,7.85781326,8.012004216,8.098756629,7.786722486,7.920601571,7.893969295,7.924789834,7.89837121,7.909748512,7.947982846,8.047863075,7.906820415,7.985963945,7.83988889,7.998279462,7.74374005,7.970748958,7.935039705,7.816843284,8.06175674,8.081852491,8.093592084,7.90991722,7.883259964,7.881458598,8.046370426,7.812024341,7.902550448,8.049469354,7.861880821,7.881713695,7.979018042,7.848674971,8.010282791,7.918167439,7.86238479,7.964181377,7.843055055,8.293162415,8.111375262,8.131880423,7.846289301,7.968201335,7.882483022,7.970342284,8.000816122,7.841983607,7.94454228,7.74883528,8.155145856,8.262975269,7.966419112,7.830213747,7.795718987,7.74615607,7.933422574,8.14920191,8.114134056,7.932418659,7.915673995,7.855905329,8.113766105,8.523961049,7.874156033,7.969313186,7.846124034,7.835468251,7.882829922,7.969677373,7.880266818,7.837545824,7.931936393,7.901355092,8.110691778,7.953759775,7.894824436,8.043615979,7.946084082,7.929014941,7.856485192,8.019935259,7.98986166,8.025126286,7.88797385,7.850143276,7.892798815,7.960471788,7.981377395,7.876074548,8.129536507,7.820435826,7.942175155,8.010074945,8.038191395,7.930081373,7.951121573,8.052207491,7.800080541,8.04084002,8.046909689,7.926787017,8.151967985,7.852117794,7.781036232,7.908205282,8.063379945,8.07374368,7.94926674,7.927523279,7.826635541,7.742906431,8.107733991,7.904040668,7.995831827,7.847951743,8.114514116,8.037060998,8.089397731,8.053973775,7.90790865,8.003608533,7.798293862
92_92770529,92.92770529,7.813867014,8.122693097,8.237563707,7.848538925,8.271346579,8.478130468,7.880911305,7.905224966,7.758953176,7.865529907,7.966686365,7.99605993,8.285655701,7.762641931,7.983263132,8.027974437,9.431056995,8.004410396,8.007365395,7.8471831,8.03760286,7.926719356,8.202090966,7.849121034,7.905031802,7.949535171,7.934009042,7.820145711,7.995824551,7.918288262,7.829116964,7.947787979,9.80551742,7.881416508,7.763554534,8.12381607,7.952061835,8.010525505,7.893888969,7.942803503,9.175859615,7.888264303,7.963799077,8.177566812,7.8097017,8.033800071,7.827489064,8.832123465,7.955204687,7.812267416,8.061762894,7.970309357,7.885886877,8.066029226,7.913700718,8.065628904,7.992248101,7.772969435,8.083822317,7.79244655,7.710746765,11.28917063,7.983460679,8.032593606,9.592896692,7.947179688,7.962464301,8.121190956,7.898322426,7.803527706,8.020208484,7.693051999,7.93292008,7.872315268,7.908633662,8.058839946,7.912842295,7.872156961,7.991523043,7.927690498,8.118071485,9.549493777,7.77185826,7.883005704,7.929700181,7.99521311,10.12114087,7.787100833,8.108464997,7.756729575,7.930211532,9.276496907,7.885582478,9.920466383,7.974678606,9.901021058,7.83397946,10.01372329,7.873344626,8.006350803,7.853064962,8.007788863,8.10384556,8.001686371,8.288111574,7.972056045,7.966747079,7.835391875,7.969140338,7.83864024,8.178837923,7.866131083,8.037796545,8.185329839,9.784158212,7.9657335,7.89567163,7.865991094,10.09964127,8.11555554,7.865227281,8.273207449,7.723968319,8.05151471,8.0506894,7.969529027,7.997816669,7.924288321,7.918343304,8.007218685,9.925792104,8.412951052,7.900439745,7.764576362,8.044194933,7.814922339,7.76684575,7.981838981,7.791734617,8.121802258,7.970593309,7.915448931,7.972723027,9.837497319,8.013339703
94_92414748,94.92414748,8.098920788,8.812215823,8.124772679,8.025639585,8.234277385,9.568897284,8.164086372,8.557715273,8.106674843,8.284548905,8.798662695,8.462626452,8.131104326,8.201864806,8.040242841,8.275545261,10.52105547,9.303064058,8.581274145,8.429815028,8.58938241,8.632648911,8.904027931,8.356799148,8.603330929,8.364878278,8.280120204,8.267815186,8.682782849,8.433181987,8.335109394,8.690115891,10.95555829,8.580000304,8.197660043,8.842501071,8.22314233,8.845057229,8.552668334,8.493957631,10.3611903,8.391675998,8.080689905,8.766595077,8.46226542,8.715004434,8.415456681,10.0494888,8.133083809,8.339641915,8.396417489,8.497658374,8.435279549,8.990058959,8.42273429,8.25185957,8.448006808,8.232087924,8.591678057,8.331843824,8.211182089,12.46794007,8.218749953,8.781603784,10.60430228,8.202060853,8.585270587,8.777678454,8.583378003,8.391570791,8.79412491,8.079298937,8.104428682,8.371557746,8.044789885,8.567894357,8.254901749,8.435236842,8.657436444,8.426506505,8.895462107,10.64983133,8.130212816,8.385705685,7.889992551,8.314158411,11.36944673,8.155885167,8.773407384,8.408647409,8.620193953,10.39129146,8.492130926,11.02982875,8.327698051,11.01223269,8.150221084,11.4154798,8.47919709,8.621743683,8.613694579,8.590186799,8.290460773,8.657999052,8.343642264,8.354977408,8.771883458,8.148445821,8.426211291,8.632614047,8.457451389,8.498351549,8.583745091,8.982979506,10.93738398,8.472002336,8.320981969,8.438476123,11.29209112,8.878760747,8.465020603,8.336523576,8.150228906,8.578759244,8.498997469,8.023396118,8.697590014,8.470903318,8.538731486,8.669683612,10.61807619,9.263600909,8.273234513,8.236208942,8.054942322,8.256115934,8.26095677,8.424896887,8.269657962,8.76722451,8.742140233,8.360240587,8.606952258,10.89828898,8.638848545
102_0550047,102.0550047,8.142096158,8.139246906,7.821531188,8.012901241,8.186864923,8.066124157,7.739974022,7.958493863,7.99919644,7.780294787,7.796679769,7.863000766,7.866458041,7.941790877,7.949229357,8.074251915,7.968982193,7.818909645,7.974827928,7.8594633,7.983770128,7.794953189,8.042564571,7.900567225,7.918887776,7.95515831,7.790069104,7.962906174,7.902215139,7.896582813,7.96296885,8.050427925,7.828733826,7.939603855,7.773688445,7.898573354,7.981687726,7.99581129,7.824865648,7.979331368,7.857762168,7.943269899,8.008546469,8.077876089,8.130711973,7.816847355,7.873889922,7.844229157,8.003821632,7.829590461,7.963089649,7.981545236,7.945407662,7.943369592,7.960221024,8.040502936,7.963777726,7.822365197,7.945234006,8.042010773,8.056819885,8.122871553,7.980430592,7.992277469,7.778029,8.149648031,7.935959586,7.874626594,8.091942839,7.854386482,7.902999359,7.944246013,7.886727065,8.064080105,7.874544832,7.835399296,7.870009705,7.883633005,7.881722086,8.135625011,8.104105456,7.90049886,8.090903326,7.964839839,8.112540564,8.233280798,7.975067999,7.812888815,7.776504993,8.041303832,7.892535472,7.751631618,7.90601651,7.884522877,7.981564637,7.936719372,7.981006701,7.846601649,7.910060535,7.914708161,8.073546531,7.946460518,7.813005613,8.010862224,8.173958446,7.976930675,7.93921099,7.980512201,7.859076817,7.998995018,8.061193232,7.969841385,8.125947786,8.009982562,7.958114622,8.153047106,8.012233618,7.992761348,7.964208892,8.111213089,7.904512246,8.118513274,8.018793913,7.900923913,8.199467708,7.947465481,7.907096544,7.864574931,7.945220765,7.970655034,7.876185132,7.896280819,7.906020508,7.820300675,8.321389085,8.111043926,8.089394979,7.984620545,8.085597627,8.037060998,7.953717438,7.927269236,7.886817187,7.96469504,7.93547596
104_034937,104.034937,7.974645661,8.179424727,8.274464003,8.096255861,8.644071583,8.045890116,7.78963743,8.032462216,7.946057833,7.78746243,7.783635571,8.22812637,8.518718971,7.98292759,7.755851037,7.879261094,7.923577527,8.137836105,7.950595123,7.830977077,8.038835068,7.789102016,8.091357903,7.909521164,8.328578459,8.036681939,7.804703146,8.226388147,7.902412242,7.900106839,7.861602549,8.086274094,8.068504061,8.493484915,7.799577527,7.983347472,7.858631499,7.984411851,7.899218057,8.043861774,7.947527702,7.904603706,8.016948711,8.151804312,8.064695185,7.839425369,8.018384666,7.855285369,8.172944509,7.790291787,7.987149082,7.936872283,7.870672018,8.011034199,7.897129718,8.181483589,7.946419138,7.91254139,7.875128773,7.881758915,8.225954646,9.122307075,7.995659577,8.295334809,7.836902523,8.050110129,7.837270562,8.625583787,8.115787573,8.164072704,7.922552848,7.830969402,7.996633499,8.199047964,7.943831806,7.908929935,7.956339918,7.668810199,7.858247069,8.268094451,8.160250221,7.930582774,7.846674672,7.819996743,7.965775144,8.854934576,7.882630033,8.166061939,7.935956649,8.094483403,8.010216646,7.970598182,7.843815168,7.897674847,7.963203704,7.981535405,7.963400552,7.970105598,7.866006946,7.950808044,7.903550824,8.094553309,7.873237364,8.264777927,8.166318252,8.100744973,7.878285161,7.818980864,7.766584736,7.930369576,8.098585901,7.834759533,8.008437897,7.954760056,8.169002667,8.199279892,8.052807181,8.071631514,8.040389148,8.424810769,7.756560654,8.32312594,7.896087632,7.860918781,8.403588006,7.944301978,7.884577554,7.898838662,8.375978542,8.033966542,8.073231755,8.101344161,7.967972293,7.900108343,7.948401714,8.01621326,8.016861521,7.772028541,8.218695753,8.175554895,7.962606921,7.958218391,7.802534114,8.529557829,7.825034856
116_0712257,116.0712257,8.426369814,8.461173873,8.573215965,8.87212255,8.859110167,9.298983182,7.847281188,8.547964717,8.222792518,8.077418656,8.155405566,8.254525556,8.490157317,7.893477759,8.072426955,7.907346716,7.962070568,7.944352648,8.28464635,7.91962822,8.614927285,8.11720108,8.547591069,8.188569764,8.249796029,8.144566018,7.99299557,8.012190006,8.190686387,8.101139768,8.131441083,8.015110444,8.478501095,8.453816362,8.372313883,8.5551133,7.931024683,8.152002346,8.295237183,8.528857295,8.617632537,8.005750957,8.075217831,8.224246919,8.663972834,8.016268624,8.21016515,8.280196275,8.429629363,8.234326379,8.154404014,8.330125409,8.436198019,8.149138871,8.277322785,8.323133517,8.323388412,8.081948233,7.934514122,8.032093434,8.440145374,8.087972914,8.136879019,8.346193945,7.924058954,8.228047976,8.2910884,8.737508435,8.171979097,8.325443472,8.362130528,8.060031634,8.428751328,8.612713316,8.464643413,8.197713912,7.990792097,8.174457567,8.34314707,8.170854524,8.559941673,8.695055587,8.028043246,7.860159138,8.014054989,9.037113709,8.127943036,8.559586944,8.392130992,8.492609968,7.82944213,8.350484385,8.278996826,7.893284012,8.220406025,8.137142974,8.54081111,8.165690314,8.130923548,8.341713217,8.272917423,8.397093259,7.957822879,8.356347389,8.542648039,8.32071184,8.0594211,8.045001742,7.981665598,8.208366444,8.30063407,8.189454847,8.208559967,8.129789952,8.487271322,8.418094567,7.861137922,8.204231558,8.147419213,8.101251909,8.007885999,8.006711708,7.944418423,8.031733476,8.380685213,7.91899495,8.224829939,8.462175965,8.198381046,8.61544065,8.793169941,8.389501392,8.470276747,7.846235626,7.983307682,8.914420912,7.932179207,7.868306083,8.138378666,8.880450254,8.341494755,8.0567401,8.491180495,8.758377974,7.961222717
