,mz,CK07,CK08,CK09,CK10,CK11,CK12,D01A1,D01A2,D01A3,D01A4,D01A5,D01A6,D01B1,D01B2,D01B3,D01B5,D01B6,D02A1,D02A2,D02A3,D02A4,D02A5,D02A6,D02B1,D02B2,D02B3,D02B4,D02B5,D02B6,D03A1,D03A2,D03A3,D03A4,D03A5,D03A6,D03B1,D03B2,D03B3,D03B4,D03B5,D03B6,D04A1,D04A2,D04A3,D04A4,D04A5,D04A6,D04B1,D04B2,D04B3,D04B4,D04B5,D04B6,D05A1,D05A2,D05A3,D05A4,D05A5,D05A6,D05B1,D05B2,D05B3,D05B4,D05B5,D05B6,D06A1,D06A2,D06A3,D06A4,D06A5,D06A6,D06B1,D06B2,D06B3,D06B4,D06B5,D06B6,D07A1,D07A2,D07A3,D07A4,D07A5,D07A6,D07B1,D07B2,D07B3,D07B4,D07B5,D07B6,D08A1,D08A2,D08A3,D08A4,D08A5,D08A6,D08B1,D08B2,D08B3,D08B4,D08B5,D08B6,D09A1,D09A2,D09A3,D09A4,D09A5,D09A6,D09B1,D09B2,D09B3,D09B4,D09B5,D09B6,D10A1,D10A2,D10A3,D10A4,D10A5,D10A6,D10B1,D10B2,D10B3,D10B4,D10B5,D10B6,D11A1,D11A2,D11A3,D11A4,D11A5,D11A6,D11B1,D11B2,D11B3,D11B4,D11B5,D11B6,D12A1,D12A2,D12A3,D12A4,D12A5,D12A6,D12B1,D12B2,D12B3,D12B4,D12B5,D12B6
52_5086901,52.5086900957213,2324.18690793325,1370.71731738391,1644.32155696114,2336.58540314748,3386.4559616158,3127.11048078114,2858.97552025004,3666.64010341796,2729.92296291084,1857.09230604098,2339.73631161249,3615.53941924669,2225.41974245508,1890.07540957206,4339.81606634252,3198.39015258907,2514.81834237345,3743.41457842694,3799.05164973001,2751.47407819556,2839.40393571985,3722.89482080111,2613.74163977812,1831.68966654345,2297.89782392135,2580.20819666223,1747.72445531081,4849.37408063912,2750.05108238889,4116.14276643408,2322.0547177177,2273.89923053571,2048.56738917067,3164.43940082925,1682.93280743636,2930.29069072072,3185.90093966106,2559.99967912293,1339.5745425761,2462.79764985608,2140.36147084994,2458.96886049718,2643.46011168552,2040.81202783905,2480.20490533851,3377.98831169299,3780.58796088648,4779.95370820795,3146.81514947226,4157.54930423694,3014.13826391474,2224.47761339717,4738.90457932828,2044.4943306745,2239.0569144901,3880.83253547911,1942.55359123671,2733.18313164008,2981.7356180393,3821.02643506381,2524.63425725251,5370.39712933907,2643.9866620586,2339.59563160897,2324.62671523295,2437.02946050182,1857.43213437512,3037.11655527842,2446.90243771133,3830.83809466446,3671.95303371719,3514.355191353,3798.71755533612,1857.58720722597,1694.19443802025,2220.62758236638,1924.92463767504,3898.07148902882,15115.4211279495,2393.38457412281,2636.91927632946,2639.64308720614,2446.508761506,1799.75482071888,3676.29382693842,5134.63979149752,3217.07371037269,1973.11134703767,3243.53216696195,2034.5399606662,3677.94151945641,2961.15530747365,2430.40314920903,2762.74485515756,2576.06106727756,2295.16497191685,1826.28599192132,2260.30831371401,3196.28107192084,2006.89740472434,2298.14282901359,2598.49315234097,1948.82657868961,4949.2597759484,2809.74528027902,2630.16046195817,2621.65655513486,2145.20172199083,2899.47964100273,2747.9178313214,4177.37531946492,2185.44549950021,3343.49215453583,2697.78239739911,2468.44975421005,3399.40441918776,4452.27300952415,3639.61341267469,2783.84447219437,2597.78611071926,2825.47700528612,2242.89086399006,2565.19437560061,1711.1972522649,2090.91628170187,2754.53993841071,2358.40210979383,3172.4067078276,2987.71836100592,3345.81371633699,3011.44921004584,3376.6417112899,2244.397190158,3076.87971491742,2699.20950142593,1437.49144043779,15047.3813198739,2236.79546026722,19235.2751919241,3820.23980992999,2302.45758507577,3740.00241853094,14707.3887207594,3569.92320740284,1804.4389274281,3270.79379830762,2523.78582533889,2664.50872929737,2065.10752080441
55_00295529,55.0029552866441,1720.68482914726,2679.67193776268,1322.6934468599,1583.71956000778,2435.99573681384,1560.12493102124,3532.23237517279,3065.93384957502,4184.84057467013,2548.30076902437,2874.42834199052,2298.67270246232,1181.98835190743,2114.17919211526,1245.33128161774,1828.88038578788,4811.71590799516,3946.45118644406,3230.57411731793,3993.07665199668,2794.74741698733,4283.15777610893,3250.40907166678,2141.3076173635,3849.2865524565,3003.997394926,4034.73752717253,3765.94622521893,3437.80048446719,1809.42653457672,4960.51238594934,4053.58703725596,4182.39674391373,4339.66071695098,3100.91811124513,1941.77088661769,3429.48711784749,2881.26453460564,1721.68785507223,2349.76795196168,4008.54268398329,3132.79180678224,3808.30745941173,3333.90212021397,2863.61180294045,3924.12819850387,4652.58134671959,3139.6476457102,4255.79169231738,5585.18328405911,3528.68874661469,2304.43893701744,5480.83339779664,3874.8605235506,4786.1573188207,6180.43375257486,4200.52574773835,5221.48566979112,4717.32917515085,1883.51441975548,2471.23295512049,2112.84139040055,1984.96106128022,1857.68663250096,2260.89299871826,3323.63346661285,2020.90135973512,3141.45356618433,3813.71421808789,4104.73194155865,3949.55444377327,2075.59163448261,1693.83629209892,1733.9013518595,2051.44529428078,1515.65201982154,1467.89925301584,3649.84243604114,3171.64585113644,3452.01978025788,4698.0583824825,5064.13557466687,2876.10124177042,1390.3716837969,1833.26378513733,1736.2539787601,5723.82116751263,1783.3776040074,1843.53080503725,2466.28779829287,4697.15888101021,3817.1344210861,2815.91207508489,3999.77019277328,2259.52221974396,6130.75867213101,2117.33666388601,1746.11933503017,1566.64024257961,2132.34311722058,2132.96098798246,2705.67569073886,4224.47829746877,3586.9757318471,3766.69721836464,4706.8960408175,4265.55588046843,4357.64331854114,3843.39913651828,2588.56066608436,3752.36389247317,4124.17511280454,2964.61501914651,3570.36228291428,3085.14360458331,4429.81828409781,6465.21064006299,3836.36351794,7333.41517597819,3294.79596137414,2427.5557030311,3188.62161671919,3860.52657832775,2024.29854373737,3507.86747365559,2838.46517131026,2314.6765096047,6597.28225339872,4940.70690593576,4091.56296622128,4339.08616780243,3288.47642992331,4080.84581641356,3194.33465145458,2070.57556517965,3702.33306873,1808.09983819485,4812.23690136774,3133.11669056161,4568.5581397715,3751.50108136686,4851.6492195819,2175.99279262874,3986.8806983851,2969.9139309876,4459.44663420543,3928.32980901062,2965.20015321924,3312.51658440562
57_52371579,57.5237157933136,1780.16109560017,3362.31384585292,1239.04669151229,1973.0387078829,1894.7525868247,1660.31390436584,4393.74732257063,4167.6249023478,3493.70901143773,2911.72971287009,4512.96544466418,3159.5755405523,1576.30778058155,1744.48651307082,1764.16497089271,1794.46754179845,2140.12644810611,5451.81417489211,4030.16846561485,4692.26230579139,4425.64691371588,3967.56111752928,2815.58138592924,3218.88289047911,2106.99351232802,4052.76011028046,3177.41160416489,3166.09657680662,5039.49588419683,1825.88168032312,4090.98367975448,3631.81068384286,1935.48574444338,5144.50961695467,2833.28332138835,2531.20557444231,2365.82555831529,4480.71831743325,2230.07745818799,3755.06214097989,5003.69377092567,2913.10915464356,4970.7836231081,1947.2441605813,3979.72796118916,6399.91705158859,4594.97149929589,3476.76047181548,1710.13959180956,3441.14107986606,2833.00725158005,2655.06526181215,8552.67869057501,5227.34326944202,4894.88458936896,2107.16678969373,4846.34207738137,4828.55705202326,2787.42363666017,2275.43163664525,2188.42258060273,2198.2856013923,1958.64990685879,1837.65526949296,1060.39416866794,4597.63664478146,3303.18083291054,4349.3522881917,3390.85247555122,2645.18807156704,6527.32158878391,1650.95743832775,1981.0858075782,1561.57087428503,1559.34099825042,1344.43579153275,2283.45183182954,4236.40873674563,3201.19133564868,4011.02547563344,2110.9938323711,1850.34036024118,2698.69423685849,2182.56155120086,1741.8448639464,1675.61306561227,2858.95938852779,1294.31708480685,2820.77011923495,2652.08013593644,2065.55871621928,5142.63649844411,4446.31312666795,2937.54410009279,2878.35566609131,2866.71961782749,2315.53795468834,1696.03424197143,1968.1297052714,1741.69344331764,2194.19999612132,3109.39897945073,5094.94875680759,6004.80076589806,2893.27106408664,4995.37544950678,1448.03357079367,3318.41668770542,4581.98431919654,3006.97842047506,3017.43924960416,5149.88581830897,3773.54926957335,4713.91742910974,4532.41186701498,5745.47205656436,7446.57938920951,2229.71793667288,2258.24367125141,4539.44853354242,4007.36395481542,3882.30589974603,3085.05829997351,2275.02518513125,4763.55482028758,3505.78820517944,4339.81560557635,2661.39918650508,2145.66172944275,3041.16920105988,5530.4731597446,6123.7290942404,5983.66647949135,3304.78435008996,1676.09366425084,1894.17295873262,3491.11246768064,2861.2219580047,5780.35188613882,6043.81125912873,1825.38668050071,5101.36623666645,2581.71271607878,3081.73859511505,3982.06458582124,5730.92003151996,5515.74008817906,4266.82719084435,5436.47759566448
58_5036674,58.5036673974132,2938.24647764797,2141.42386703355,1830.8506855433,3060.18492104329,2707.45031424822,2674.07775328382,4270.64833555747,4046.01641619499,3136.08363963047,1857.09230604098,2731.45412914596,2667.02077444575,2280.8532040545,2683.07388567637,3952.74256867143,2865.35378406827,2454.93180823907,4759.73505989156,3801.53217197846,2649.55564224771,4110.77049409222,3258.43694242815,2760.63820067875,2000.68096622302,2078.73231074085,2802.95933646306,2095.91025962708,4734.42642253272,2857.31707388952,3970.03642482416,3136.50815565417,2185.9880774583,1484.47690254558,4040.8051023358,1682.93280743636,2796.72774908952,2787.95887582433,3154.0289898221,1339.5745425761,2577.96183756407,2414.87065613089,2753.68393582269,2933.23772216055,1498.20099655592,3251.52282632484,4141.76090240039,4364.80747739282,4721.58976253367,1962.12883771141,2964.35756210414,2641.92395691329,2127.461115348,5845.49007523326,2711.90607271934,2603.19105609001,2195.72183939167,2587.13134818445,2846.72114180069,2596.62833706835,3841.82534117805,2078.80171452166,4040.71598652348,2497.77180519598,3196.6062422242,1287.80591685984,2517.20181392485,2380.01653280368,3216.70430364808,2845.75473491813,4052.82547592211,4386.6404276123,2971.91367929871,3453.01302975427,1692.81581124584,1847.7771252389,2063.64559009261,2938.97650908364,3955.61483896602,15115.4211279495,2767.48842546413,2013.87778432727,2370.24862966407,2591.86037357013,1884.23777472874,3472.61255085447,3747.40413088482,3019.70647347445,2207.61907550158,3619.50254863859,2457.74141912507,2421.30074763469,3794.77719145869,3199.1382065663,2716.23677448643,3206.92680950473,3887.10563249581,2704.20137882803,2684.31238268286,2410.36564793799,2016.35802429574,2292.64568474786,2699.22675021751,2901.46043264778,5430.01254164878,2511.37053189806,3647.78998787365,2340.7904313749,2091.98616273457,3235.5052200139,3402.48966864179,2919.15048676839,2833.62142516871,3759.35102404482,2897.08957184319,1943.01575085026,3899.34917128495,4640.40362633732,3434.60878392116,2402.15060457365,2485.36861891395,3054.04677557942,2425.91632881858,2934.05149068855,2338.17407077607,2664.97615142145,3527.39985849328,2125.17017718366,2748.1241742826,2372.03512012189,2604.8922040403,3341.75256966728,3906.53397617228,2389.24750254948,3078.05810949753,2331.04169715707,1431.56588796126,15047.3813198739,2672.96396140519,19235.2751919241,4146.45424786115,1622.74262924665,3891.05615069302,14707.3887207594,2928.73850059667,2740.98299377848,3150.36283030101,2638.05695103044,2823.00252418098,2109.27699557729
59_06858215,59.0685821517922,4626.56819323782,4796.24057173847,5468.47647142692,5157.9033340644,3735.10498672538,5047.28302033362,3385.66364731127,37867.7467057913,2111.4322102473,6092.58553321501,5886.36107697085,2225.03962502531,3330.78166913546,2552.34883383998,3703.58958756193,2663.78154925473,6327.77925772691,3988.90846593492,4596.58385775507,3183.88323041235,3977.37510149005,3601.09790320011,3257.27736961622,6184.6487357292,5529.55660854552,5500.11029297626,3561.50949466711,2009.25585171013,1823.18824758043,5645.93390903464,4943.89416155461,5739.3038123573,2429.11355357447,1607.61795606449,3732.8196226553,4031.23407457263,7804.11786050781,4043.724067441,3950.8901789569,6017.37305850841,4784.38071073791,3785.79501257776,3927.11697909901,4340.13293698015,4585.81157425185,3797.26691893814,3342.74318048973,2169.69808080815,6077.52545202245,3733.74133499557,6200.54396324381,7739.08014164195,2901.11067491156,3724.52075376385,4179.88769304764,7041.44505454659,2783.94079503438,3914.10836786983,5886.5563636128,6350.18618562144,4058.12732758821,2642.83776167556,4070.09440938329,3189.21737323671,4227.40463645388,6613.73044300496,5696.18677135171,3382.22784010481,3819.56981231822,6234.00728021177,2445.75457166336,4821.10976421906,1452.66825796833,4428.53591396295,6082.69528267449,3208.95655905546,6432.80014527691,4954.09548664597,4575.84644768996,3909.07962369541,5726.75837213237,6597.20724035522,5613.90602783156,2409.22023220507,5715.8425287172,4503.40151805079,8041.79887659767,1105.36804652352,7754.06305391257,5129.61463942303,6229.1868784947,3170.2901271884,3690.73330412274,1994.82026129502,4547.33307206664,6916.23811572206,7562.69321284183,3171.11306495229,3249.281493297,6813.60914140267,3030.51488381192,2577.27040235296,3087.70624846673,3232.58819903248,5280.10400779973,1823.60921389308,1747.3337342357,4384.33399464271,4752.28430478103,7018.42879372188,3007.03670532971,4547.89158176884,3977.48079421603,3175.17615910529,4591.66909877013,5608.29212833478,2767.17463779266,2015.59573302543,2013.40436440592,4526.10601601491,2533.37869518788,4918.00469449662,4217.87220816537,5293.43283989751,7027.26912686788,3036.5404327133,5355.37883710684,4127.95369584708,2832.05428701205,2543.12703255411,2508.14769538549,4690.73861550129,3819.29577236966,2792.4548644577,2373.66645869847,4737.38686814227,3689.01869661046,4079.1549164579,7017.55190967296,4567.8022324121,3330.38195711916,4670.74358790392,3304.61137190403,2398.80389360239,3802.50436065441,4340.97130656579,4422.17023681981,5326.88628077817,5339.13125824388
60_53180859,60.5318085863874,1963.18439561666,2421.9767028756,1634.32971793718,2107.05211418655,3019.78077237283,1936.94675675702,3987.64122071775,5783.39096409144,3479.1654323379,2588.68855223051,2152.52495544341,4010.34243737343,1530.4033706743,1724.26881615315,2295.96211351214,1679.99523445308,2894.93292716601,4639.16359468147,3921.35955796281,3839.37701212128,3206.57507219725,3684.10377048051,2382.7565757925,2136.31741324325,3259.62691558619,4160.652328197,2975.94359412542,3770.12493032396,5072.62059221555,2988.20896810319,3516.62503176832,2808.1304846878,3146.59647654324,6312.36451177644,2560.04014634326,2949.79785951676,2727.2371941856,3643.58130512837,1697.56528827148,1874.88156843506,3061.79303477776,3118.39867768937,4040.86762995785,2052.57264683948,1858.0273155844,5685.51238465975,4745.63579146245,6556.31913735017,2935.12712266859,5307.0916994653,3617.98226030836,1569.25929251431,7814.78791018005,2881.87498694715,3858.90868965171,5546.65348962325,3273.44015716965,3988.0204546757,4082.45318264975,2522.51476546617,2361.57337962631,2671.54378628397,2471.77330110087,2658.66266827783,1276.78073386359,2527.5426536277,2173.59715936058,3282.63398057411,4341.43135015545,4857.51700802287,5376.62540845775,1926.92156412711,2031.77969840877,1819.72931306318,1297.43201187942,1621.7916961708,1729.10162420008,5137.60488706217,15115.4211279495,3149.57465673036,3054.01854634389,3208.52132435867,2473.92475237059,1514.23281894667,2051.96638846403,2022.87515483304,15048.6202523605,1517.98288989931,2049.81982624023,2729.91776803445,4498.57722569052,4043.34362155759,2349.09040138923,4261.43527305767,2412.73105197604,2621.44367479814,1940.06739449885,1546.05685534719,1603.28678775827,1638.10283840685,1993.91705710063,2836.68547030121,3991.62183412632,6066.3313373239,4719.25385480658,4704.91870913052,5309.20317469004,4750.03947695639,4594.7447739729,2865.15041550939,3824.9437433759,3695.8750387558,4704.89324661628,3634.06572033654,3381.24138834624,4398.47621220955,8677.15021500011,5133.2469734669,5171.77634120772,2229.88737927892,2778.49855512538,3364.93113619036,4852.60268554607,1709.18889097955,2624.46405493187,4212.40576588703,2023.53903434983,6398.21277257357,5156.78173852183,4305.5474386897,3006.46709401481,3803.15478699085,3192.79787780589,2575.38172151947,2082.90727700101,2081.44641950769,2103.81260149148,3494.99343737557,19235.2751919241,6889.76033587822,2640.11042306013,4225.84991736917,2098.73995435443,4440.37151195477,2356.09360159013,5282.35851809378,4504.64530202363,2904.93596148165,2672.03325871386
61_03018252,61.0301825246812,1770.29779265135,2020.53458777038,1322.6934468599,1937.77964497304,3601.54108860045,2068.91249799741,3775.10647114224,6777.63891096931,3665.35226565388,2917.01435367497,2686.73124917312,4218.35011284444,1165.71087349479,1497.20016111171,2300.24129311688,2256.85436374835,3081.5368649731,6329.80081101687,4819.96320750661,3944.67644249247,3621.77386462515,5178.2316348277,2550.0860229545,2433.17032346705,3333.45165198797,4960.58008655932,3410.76927625013,3796.32864282688,5677.99864571602,3121.61403271346,5110.7284515966,3210.36754542843,3775.8690071093,6038.79011205394,2702.90946927684,3985.57885983788,3526.97194479566,3246.37336314167,1967.90327357183,2511.23233875004,3290.98276996796,3156.28118063806,3977.00607679951,3079.02601948213,3026.27462435615,6252.30842159279,5464.22050551233,6874.15378732052,3562.09964953053,6774.99769455252,3353.55977605291,1796.23389192074,7627.02165536713,2834.10602738107,4325.97677116633,6744.0866751174,4369.59893115748,4696.57785447097,4893.70704437821,2796.27936696925,16188.6555301402,2759.02934249291,2015.11128030466,2000.90872909196,1602.28789849937,1739.57893839905,1881.10981890606,3409.09956712071,4561.87429360445,5345.74425902686,5768.68731401368,2398.87911776198,2173.46369707099,1753.92114039203,1430.8301800618,1548.12512535299,1736.60118291802,5749.8048582288,15115.4211279495,3129.74523249708,3181.93229749757,4883.46483712415,2145.18739822916,1450.62557605879,2265.85223398238,2639.07338078266,15048.6202523605,1725.37329912567,1925.22075840914,3380.71925636614,4521.60920394688,4558.05628247627,2758.15556762738,4241.46618768944,1770.83913555256,2657.96352062449,2143.7548070958,1776.89062177724,2038.27464294888,2134.33948653857,1822.4642251294,3095.95206860504,3562.50061944613,7618.63190164531,4991.59010566717,4377.36145942197,5147.09917577463,5655.18648738467,4962.57273704141,3094.47519854526,4474.32549535168,4891.02697778988,4129.76737461853,4875.80094694718,3102.4639957235,5342.67299498022,10550.4875023822,4715.12183620194,5424.35074833756,2648.11381016969,3980.44888985942,3169.22188315776,4743.90917913543,1931.09690510664,2770.84627544952,4378.80379816338,2143.01077448881,7430.62746385268,5377.86441016308,3875.17067824278,4103.61444202953,4160.45309683439,3331.70668519676,3832.86995913557,2417.22498761565,1944.07720916787,2172.28701840467,3174.2472240666,19235.2751919241,7050.67832447461,3176.99847948594,3923.51664511208,2072.02150240619,4295.03057074524,2282.18124772804,5521.60839957236,5158.12693753989,2904.93596148165,3058.01409162441
61_51403426,61.5140342553419,2647.03433661124,2069.25046850537,2060.14922552817,2915.69825053173,4459.52880436645,2458.73371613256,4093.72182021163,4453.24828763844,2269.00928529032,1857.09230604098,2119.76802290218,2771.9260655691,2672.08640771648,1951.33747119459,4695.36792213571,3405.38738378521,2575.13369326536,4318.12749149605,3817.04594227493,2906.63398215628,3485.90348513402,4163.68438522069,2800.01486582313,1831.68966654345,2115.41286863124,3240.54712395736,1818.85979316652,3572.89548008343,3603.91233129186,3775.13199596112,2675.2378978985,2320.33503544781,2334.80147185339,3498.29187255957,1682.93280743636,3482.68574417119,3103.22749722286,3227.53044862934,1339.5745425761,1987.57814961115,2278.0797637721,2439.33891420229,3011.51640179795,2021.85216501732,2492.93454470821,4062.42363067126,3801.80853392,5647.21165167171,2055.37421819918,3763.93404888305,3234.97292401675,2409.52438400129,5807.73501710113,2334.43474634717,2763.6759197819,4258.3025970237,2330.48345437179,2960.91322024144,3185.95147232423,3599.69777252421,2361.57337962631,5388.49914876341,3040.3460723136,2883.68142826664,2112.00948545332,2437.02946050182,1931.90822520338,3159.02250936581,3355.29365080411,4162.04071530149,3866.99831923645,3376.85914579401,3792.44073041627,1819.72931306318,2089.62591826727,2473.74955798929,1990.30399538432,4135.22068090926,15115.4211279495,2666.39499151302,2347.07846734572,3044.41017764403,2888.29076650274,2036.56726023796,4240.39464923073,4674.74516443366,3217.07371037269,2628.75551665534,3846.69162069817,2175.60925633375,4547.28988007285,2818.36700680911,2745.57913425722,2687.42228764995,2806.41070741838,2584.9238289718,2024.24344960316,2713.41409226732,2823.15016688172,2352.76579323444,2345.83811791974,2811.9572559646,2233.29960641446,5113.22679127905,3572.21309559272,3738.02997774937,3218.8791147121,2535.6590712879,3450.3309525757,2535.62693781954,3698.21611847315,2728.01798859711,3911.56510396438,2990.15186324331,1691.06512859881,3590.24897664806,4282.47788614049,3702.63532411437,2938.25067981335,2511.97287659913,3518.95908344784,2789.39392295291,2980.29742205684,1961.01114310467,2443.33088438822,3276.26929596734,2358.40210979383,4289.32937221032,2232.82525982548,3357.20867052272,3011.44921004584,2793.93685976896,1968.98021932973,3172.94013863087,3443.88312381856,1437.49144043779,15047.3813198739,2671.32908958859,19235.2751919241,3882.51312899063,2140.82153805228,3662.50341153991,14707.3887207594,3002.50630264815,1767.63403138653,3407.97634182807,3017.7380632641,2664.50872929737,2435.70805984522
62_02886549,62.0288654882684,1968.69232005896,4380.31299245004,1458.60392464641,1957.28642362692,1923.26288440659,1660.31390436584,5769.0892188739,4322.78019459701,2004.928545506,3223.64728796229,4784.38899578795,3396.67069896905,1537.46616594961,1996.40544251816,1832.3620496659,18870.6722680157,2349.88283567935,6600.1239945279,4659.04284895756,6612.5557575602,4604.05929788933,5280.31156172236,2673.04104082377,3301.39347039857,2635.52016070374,3626.78520843167,3765.02365071516,4929.36226148803,5427.11107389859,1969.11758382474,4389.69470114659,3985.97400476309,2615.22696726321,5704.28191435922,3997.79794884997,2476.57529579489,2881.72486057599,4356.41578765574,2195.40946415065,3613.58839667518,5568.99389271178,3821.4437118876,4526.19299403551,1673.92184379597,3051.91380108995,6659.88052205638,4742.27558576494,3846.68088549349,1751.15833342791,3761.50758829364,3436.25815722,2032.47916162884,13275.7612347557,5088.44040264627,6523.54144970484,2926.02364370373,6179.19025321744,6243.01029865611,2171.56418804813,3259.89128757395,2039.40844657025,18176.7649560953,2737.39449031274,2459.32483985887,1060.39416866794,4851.94607583704,2932.99312664753,3930.6633939267,4004.31711178284,2802.71498539649,7069.32825414276,2108.09387250492,2068.56652519764,1876.88937165637,1931.80270442131,1423.11027212092,2574.91241179185,5295.95284158588,2321.91356888153,5441.1755411902,1861.62667366407,1947.13563754148,3295.08734947211,2225.0020691507,1741.8448639464,1675.61306561227,3205.56366620351,1284.39159324301,2037.56893159135,2704.30808953714,2988.37474167815,5035.96623260361,4927.99687292736,4026.57208214761,3010.92992319821,2814.83716850551,1868.98387639984,1967.17624447172,2612.87001426424,1741.69344331764,2395.49619125346,3011.10812308419,5680.59642513684,6991.08453097016,3011.454513868,5882.56341379398,2120.65637410196,4243.14500221167,5518.86855185501,3318.38680233763,4054.05180772328,3990.61918569394,3143.91594171599,5677.04666619066,4786.22878710285,6524.74594105457,7165.83995568966,2316.7584661233,2491.54829666971,7254.34446849071,4609.30324983702,5203.94377383179,4730.2890044312,3083.58495047959,4583.3020751749,5599.94598289001,4929.78618179648,2794.98169343849,2355.23956409657,3478.74379322338,5764.63396417106,6533.60862667855,5803.42789012555,3465.57059007463,1583.06636461799,1693.25401252955,2556.4854613203,4281.99796028947,5780.35188613882,4783.83150395942,1943.33438752156,7769.52813613559,1522.82548304647,3434.62651162468,5486.22094154543,5843.03209266934,5754.56055127831,3762.18738764771,5334.41478517203
62_52431643,62.5243164330769,2844.78194407873,7527.82967905423,2490.06219583423,3459.81710727369,2325.2034043098,2943.01461182914,8493.07542018821,6739.70752039255,7174.29117557378,8997.70782216922,8262.46953688381,4775.48162836154,1877.36387201091,2332.95658380236,3104.4492636269,1690.19385051986,2319.00093160185,9025.67952116076,7017.72158969242,9767.01865075049,7232.93798747383,7301.04627732784,4246.96963287557,8628.39102679387,5440.92530455862,7174.31148799595,6301.43184877585,6702.88054961776,8664.85671979819,4108.31826224726,11708.8870202376,7093.63074477626,2246.89985195207,8961.00765105587,6617.51522874685,4376.30746876509,4884.09778434786,9140.04641466041,5305.11915954694,7767.56801805469,7125.06806059032,6913.84608955926,6772.97972125552,1656.592923823,6706.13152056395,11181.4306040467,8164.0560011805,6433.32418457554,1904.55835031318,7004.15130884057,5835.0213499439,4914.92133158224,15006.2180912553,8440.40401898389,8652.39375462848,3520.83041512725,7024.54823555102,8618.25050190152,6221.52774334175,3210.19945085605,3139.07237618058,2407.08241930583,3694.83175395132,3132.14915502905,1589.56054554916,10145.2448948003,6239.00384578914,6827.73089741425,7686.0878939769,6094.09647377799,11030.5899824498,2511.51576293222,3528.84941197382,2507.97718888831,3068.73006287267,2358.73308018293,3967.44956516501,6375.63068051464,7276.63212873147,9260.6140910551,5346.09826933457,2367.08611975559,5216.64432137637,3175.97527535147,2808.50189956603,3449.18213740295,6231.84204663985,1970.46721310597,3947.02765920833,4602.98453190092,2322.10142880983,9066.26009304169,6651.56155822453,7966.43367318026,6536.65507470566,5135.57074141144,3481.2568278083,2655.185596743,3269.68718122509,2240.62491472928,3787.10533547696,4984.97358259319,8826.88262734682,13136.9924834835,5937.47703228419,7911.66221935152,2132.84763211634,6464.66571856995,7919.82920170777,5114.05877205763,4569.26480249014,9651.45379065088,6049.90674047513,8441.03531086463,9082.3090052141,8842.9181649483,14336.8084718763,5125.69965810021,3183.62371419433,9610.81350274042,7944.65680203186,6392.45827994464,8342.50239635459,4791.65875536721,10017.8585099304,6812.5526454682,9253.27218606238,3532.84893125793,4095.03921465385,5170.98148543902,9856.77452530089,11684.5311136553,10978.4133474272,5438.97560586486,2317.44788209758,2143.37395674185,8338.89170564864,7030.76829769841,6784.72526798079,10894.0489350662,1967.95982879052,8742.90403939311,6457.51446406128,6238.90465656645,7878.90643696739,9528.59889039573,7754.16855226403,11486.8496969933,11979.5315663702
