,mz,CK07,CK08,CK09,CK10,CK11,CK12,D01A1,D01A2,D01A3,D01A4,D01A5,D01A6,D01B1,D01B2,D01B3,D01B5,D01B6,D02A1,D02A2,D02A3,D02A4,D02A5,D02A6,D02B1,D02B2,D02B3,D02B4,D02B5,D02B6,D03A1,D03A2,D03A3,D03A4,D03A5,D03A6,D03B1,D03B2,D03B3,D03B4,D03B5,D03B6,D04A1,D04A2,D04A3,D04A4,D04A5,D04A6,D04B1,D04B2,D04B3,D04B4,D04B5,D04B6,D05A1,D05A2,D05A3,D05A4,D05A5,D05A6,D05B1,D05B2,D05B3,D05B4,D05B5,D05B6,D06A1,D06A2,D06A3,D06A4,D06A5,D06A6,D06B1,D06B2,D06B3,D06B4,D06B5,D06B6,D07A1,D07A2,D07A3,D07A4,D07A5,D07A6,D07B1,D07B2,D07B3,D07B4,D07B5,D07B6,D08A1,D08A2,D08A3,D08A4,D08A5,D08A6,D08B1,D08B2,D08B3,D08B4,D08B5,D08B6,D09A1,D09A2,D09A3,D09A4,D09A5,D09A6,D09B1,D09B2,D09B3,D09B4,D09B5,D09B6,D10A1,D10A2,D10A3,D10A4,D10A5,D10A6,D10B1,D10B2,D10B3,D10B4,D10B5,D10B6,D11A1,D11A2,D11A3,D11A4,D11A5,D11A6,D11B1,D11B2,D11B3,D11B4,D11B5,D11B6,D12A1,D12A2,D12A3,D12A4,D12A5,D12A6,D12B1,D12B2,D12B3,D12B4,D12B5,D12B6
52_5086901,52.5086901,8.421308596,8.109098852,8.201285679,8.425166633,8.727686595,8.657527006,8.581808933,8.80013267,8.544216547,8.271757864,8.426146112,8.78717517,8.390356845,8.282565248,8.960676749,8.677110633,8.479928587,8.819389243,8.833187197,8.550545797,8.576155604,8.814267159,8.509743462,8.263411615,8.413107809,8.499683917,8.235689509,9.07058198,8.550128519,8.909367446,8.420644499,8.405597493,8.334004721,8.667811405,8.214164515,8.602263317,8.673695823,8.493598191,8.098521769,8.464082188,8.363398538,8.462911363,8.518617743,8.331507518,8.469397471,8.725443356,8.828622753,9.056152757,8.66296361,8.919013893,8.626019731,8.390059759,9.047542298,8.332693472,8.394653271,8.853231997,8.299689627,8.545175331,8.616876667,8.838600878,8.482905809,9.173823758,8.51877463,8.426102389,8.421445557,8.456190554,8.271869384,8.632474848,8.459217486,8.841011504,8.801473397,8.761183587,8.833104733,8.271920273,8.217913763,8.388845353,8.293946931,8.857421658,10.25923865,8.442761017,8.516667877,8.51748009,8.459096867,8.252891865,8.802567902,9.128181854,8.682206018,8.309619735,8.689394954,8.329486389,8.802983146,8.611044956,8.454156728,8.553847663,8.498436459,8.412253721,8.261633691,8.401334149,8.676534459,8.320562484,8.413184365,8.505175177,8.301730627,9.091056327,8.567555949,8.51465107,8.512110705,8.364939916,8.593454199,8.549502797,8.923608673,8.377721601,8.716271716,8.534739186,8.465809449,8.731110727,8.985746934,8.793293614,8.560013801,8.50496311,8.572122323,8.395859866,8.495164236,8.223568151,8.347603316,8.551444524,8.431940237,8.669998334,8.61856838,8.716890622,8.62526276,8.725086323,8.396333771,8.643588978,8.535160966,8.1317277,10.25450996,8.393941293,10.51102722,8.838407437,8.414532191,8.818538753,10.23054727,8.775512805,8.254436741,8.696769272,8.482648637,8.524879781,8.339323506
55_00295529,55.00295529,8.226719997,8.529378862,8.092782813,8.180999483,8.455873392,8.173078736,8.765808277,8.640536629,8.925334763,8.490067075,8.586260424,8.413349925,8.04482174,8.35504578,8.066437956,8.262487411,9.062775153,8.869113795,8.685878093,8.88029076,8.563192311,8.947863737,8.691258311,8.363699907,8.845533164,8.623163365,8.89020249,8.824992887,8.741220608,8.256081014,9.093341924,8.894663915,8.924769951,8.960641786,8.650273339,8.299434873,8.739037192,8.58822631,8.22705307,8.429261831,8.8839786,8.659096303,8.835469927,8.713712557,8.583145629,8.863730925,9.02924244,8.660988088,8.941630721,9.213950231,8.76489268,8.415150869,9.194623971,8.851777708,9.057448941,9.318496724,8.928954285,9.14519529,9.042993081,8.280418141,8.466659491,8.354618313,8.313462063,8.2719529,8.401517708,8.710967756,8.325086715,8.661486058,8.836801707,8.90669707,8.869860475,8.342689834,8.217794579,8.231106619,8.33493086,8.158116902,8.142007683,8.795885754,8.669789611,8.744948071,9.038915982,9.114193641,8.586741694,8.115766792,8.26392937,8.231886973,9.239148553,8.247485476,8.267304545,8.465148923,9.038725356,8.837643528,8.569347272,8.881888017,8.401087336,9.310123457,8.356054424,8.235157618,8.175267151,8.360843182,8.361040175,8.537070921,8.934462966,8.779883085,8.825179288,9.040787377,8.943857982,8.964682896,8.844091726,8.502194089,8.821617529,8.911244069,8.612026646,8.775625492,8.645889857,8.980779081,9.365350664,8.842367265,9.49722992,8.703234341,8.453282195,8.67444031,8.848281071,8.326183216,8.759501799,8.575884007,8.418345056,9.386441261,9.089316277,8.903608774,8.960512468,8.701534653,8.90109033,8.676002544,8.341079721,8.809116563,8.255643711,9.06288349,8.659185999,9.011175226,8.821402846,9.071052083,8.374724838,8.87881061,8.613529162,8.987330053,8.864745655,8.612192624,8.707990919
57_52371579,57.52371579,8.246422751,8.721282484,8.064294931,8.309596167,8.284095046,8.206624447,8.972759239,8.921350905,8.755825135,8.596961697,8.999080707,8.666474929,8.178512657,8.234616475,8.24113333,8.251147291,8.363323673,9.189193235,8.889118888,9.037687154,8.979854137,8.874185273,8.569251257,8.682698585,8.352748979,8.894468494,8.671370657,8.668266515,9.109267287,8.261500629,8.903472764,8.791313283,8.297388465,9.130127377,8.574384123,8.48489663,8.434240643,8.992013177,8.391825081,8.822288697,9.102073928,8.597356243,9.095424522,8.301215888,8.877099942,9.354777002,9.016882197,8.751412357,8.223216641,8.742097118,8.574304181,8.522072714,9.659213848,9.146334305,9.079952268,8.352804387,9.069955216,9.066272446,8.56105781,8.406077738,8.378664715,8.381786826,8.304924174,8.265373412,8.003250647,9.017456637,8.705486761,8.962821238,8.728850058,8.519132547,9.375318218,8.203501715,8.312206013,8.17356449,8.172815361,8.100173704,8.408589697,8.937198393,8.677875572,8.884569707,8.354027857,8.269541362,8.53500869,8.376807671,8.233740836,8.211725872,8.58180428,8.083127641,8.570757236,8.521184574,8.339468461,9.129758389,8.984430213,8.604330918,8.587390062,8.58404111,8.418613641,8.218525965,8.308003006,8.233690638,8.380493989,8.652625399,9.120326674,9.288614964,8.591673958,9.100396602,8.135293539,8.709571513,9.014079294,8.624003508,8.626948516,9.131185823,8.826878909,9.042272214,9.00332424,9.243035533,9.513320114,8.39171178,8.400685854,9.004856344,8.883697878,8.853590559,8.645866122,8.405950368,9.052719954,8.758962407,8.960676646,8.523955902,8.36508636,8.633610858,9.203856746,9.308933605,9.284966536,8.705917155,8.21188603,8.2839055,8.75514991,8.582456728,9.249270551,9.295319311,8.261337714,9.121600161,8.500136294,8.644942188,8.877659006,9.240424428,9.201123921,8.944147703,9.186313108
58_5036674,58.5036674,8.604531007,8.363736933,8.26313563,8.638931327,8.537594779,8.527720184,8.945018131,8.892873779,8.660004908,8.271757864,8.544666907,8.525625828,8.407776074,8.530386869,8.870627162,8.583647614,8.461676185,9.051919018,8.833799314,8.520433178,8.908110868,8.693430849,8.55323093,8.318551993,8.343697504,8.565582816,8.349202687,9.04659941,8.581330549,8.874778745,8.660122047,8.37789351,8.147605023,8.891640173,8.214164515,8.563769064,8.561213885,8.664949567,8.098521769,8.499008303,8.449382154,8.551193637,8.60310366,8.152234952,8.691559893,8.91534372,8.966289423,9.043892727,8.306054402,8.611953612,8.518159973,8.35928618,9.260826306,8.538909481,8.506583694,8.380975631,8.501764749,8.578271214,8.504615806,8.843706162,8.343719768,8.891619068,8.474748535,8.676623304,8.080910805,8.480651884,8.438631931,8.682105425,8.577991935,8.894483943,8.97117335,8.614095866,8.745208109,8.217454963,8.26869955,8.338853786,8.60473895,8.871317533,10.25923865,8.555235645,8.322818466,8.435610212,8.503184921,8.280654927,8.750330464,8.820383021,8.627586151,8.38473789,8.78818413,8.462535886,8.451359932,8.832131781,8.677314944,8.540186444,8.679440699,8.854758007,8.536635607,8.530753712,8.447995475,8.323619649,8.411466115,8.535166063,8.594021805,9.185096925,8.478881872,8.795366005,8.426473702,8.347946032,8.6872173,8.731925503,8.599083169,8.574482024,8.823354886,8.592769078,8.299840041,8.857731687,9.026639608,8.740382703,8.445464654,8.470971747,8.637215698,8.452778542,8.603335637,8.42566053,8.525018621,8.764559523,8.358555236,8.54956333,8.436163158,8.507093493,8.715807801,8.859473816,8.441483954,8.643917262,8.423442365,8.129722559,10.25450996,8.52738978,10.51102722,8.916435768,8.194072104,8.85571818,10.23054727,8.601820554,8.547467287,8.663940573,8.51700716,8.571404799,8.353479066
59_06858215,59.06858215,9.02367603,9.059552901,9.192314481,9.132762581,8.817317188,9.110826343,8.727476832,11.21001042,8.354167968,9.303647289,9.26801902,8.390236985,8.712878961,8.491289579,8.809431832,8.524663766,9.342979483,8.879295196,9.017229752,8.673143481,8.876536768,8.783492791,8.693117219,9.319204403,9.203686918,9.19821789,8.773351843,8.321324896,8.260614076,9.225058315,9.089964997,9.241929459,8.453760698,8.189009539,8.816746801,8.889371685,9.562657152,8.892331277,8.870181746,9.290779887,9.057077872,8.829911458,8.864452819,8.960748062,9.014905929,8.832746619,8.716071995,8.372727372,9.30108226,8.816976871,9.321869228,9.553846849,8.593921593,8.814673675,8.92418982,9.454598664,8.560041905,8.861308092,9.268053281,9.34665705,8.895736394,8.518432297,8.898559199,8.674603289,8.935134435,9.389040517,9.234168609,8.726566885,8.838242655,9.327459165,8.458865773,9.064727114,8.136860589,8.980494803,9.301963428,8.679994233,9.36011441,9.092039058,9.01275249,8.860090556,9.239676623,9.386429393,9.219215107,8.447642772,9.237712901,8.996988603,9.594260325,8.018634994,9.55588283,9.127190115,9.326655613,8.669417637,8.806202907,8.316655344,9.006570907,9.435802452,9.529588141,8.669643439,8.690952929,9.420155757,8.630622727,8.498800304,8.646602738,8.686425217,9.156545783,8.260752653,8.235560042,8.970658264,9.050355266,9.451167178,8.62401993,9.006692273,8.876562071,8.670757846,9.016170048,9.218187919,8.555143861,8.323373431,8.322665515,9.001949718,8.485554585,9.084685763,8.932945921,9.159111924,9.452486434,8.632313293,9.170967061,8.912125982,8.574028204,8.488503598,8.477903,9.037363919,8.838175252,8.562524408,8.436667968,9.047222819,8.805771739,8.900692561,9.451036234,9.01101153,8.71277215,9.033114574,8.705870732,8.444432829,8.83403915,8.960936722,8.979082733,9.165528664,9.167868881
60_53180859,60.53180859,8.30639725,8.451567744,8.197946915,8.352767718,8.627607043,8.297864278,8.878992375,9.249812241,8.75203929,8.502232499,8.367270342,8.884407113,8.163084171,8.227910001,8.41250288,8.213185998,8.592150648,9.02637427,8.863061872,8.84310614,8.679344757,8.804535095,8.439478866,8.362110041,8.693752639,8.91973406,8.615237347,8.826029766,9.115885547,8.618707035,8.761771553,8.567086605,8.662903373,9.340442613,8.493610395,8.607818505,8.543426335,8.794299655,8.219035359,8.27759096,8.639380519,8.655117806,8.891654981,8.335293574,8.272064695,9.232239341,9.048958256,9.379941838,8.603642216,9.161735965,8.787797165,8.176146599,9.564095781,8.588401756,8.847885863,9.206850803,8.697483343,8.879083004,8.901468342,8.482263303,8.432923237,8.52696841,8.466824485,8.523142502,8.077155976,8.483787153,8.373964821,8.69996169,8.961040235,9.072263709,9.175006479,8.294597944,8.328596479,8.25947524,8.084187992,8.193753963,8.229514111,9.128766654,10.25923865,8.663723574,8.637207804,8.679875556,8.467481306,8.157638779,8.335098522,8.325723841,10.25459626,8.158902076,8.334407804,8.544215019,8.995932013,8.892241221,8.429051519,8.942918502,8.448723671,8.512047071,8.298880353,8.168350334,8.187558822,8.199207983,8.316362943,8.575369009,8.87994336,9.299171979,9.043399567,9.040368912,9.162141098,9.049883747,9.016833317,8.583589017,8.839563806,8.807495132,9.040363522,8.791885881,8.726305534,8.973813425,9.674461759,9.127907055,9.135486105,8.391765179,8.558453386,8.721978018,9.071249042,8.222900653,8.512949735,8.931689297,8.325938105,9.354499688,9.132542126,8.952941789,8.623859429,8.834199586,8.675582456,8.498232041,8.345036473,8.344568027,8.351731644,8.756159038,10.51102722,9.431786618,8.517619412,8.934777735,8.350108524,8.983116208,8.431224411,9.156980217,8.99726087,8.595017311,8.527113648
61_03018252,61.03018252,8.243162116,8.324968309,8.092782813,8.298135496,8.783605931,8.340545694,8.827264888,9.414619541,8.799807499,8.598472739,8.531469988,8.933055725,8.039261646,8.151897435,8.413839968,8.40024952,8.644886027,9.343311761,9.064489032,8.868686593,8.78876207,9.136751328,8.490606303,8.455006284,8.713592245,9.093355663,8.734109957,8.832514943,9.230879425,8.656007393,9.123455635,8.680378915,8.827453859,9.294458553,8.536254072,8.878499414,8.764448898,8.690165058,8.307929501,8.478839908,8.702208966,8.665569111,8.876448418,8.644186861,8.629432072,9.330504808,9.191518012,9.429412815,8.773503518,9.414211948,8.718953912,8.2517302,9.538497849,8.574622335,8.957558418,9.409430702,8.967362795,9.038602208,9.079710702,8.563638492,10.33106583,8.552759797,8.323216944,8.318625679,8.187224184,8.232989588,8.279630889,8.733669673,9.009727078,9.169130848,9.247189114,8.444456026,8.373922474,8.237742249,8.129473562,8.169045761,8.232002126,9.243811857,10.25923865,8.658254959,8.672609245,9.077607608,8.364935356,8.136169978,8.403074103,8.517310236,10.25459626,8.228276657,8.294043477,8.726167183,9.000968632,9.008899125,8.552503875,8.938356297,8.243341145,8.522934635,8.364479237,8.245341895,8.330690029,8.361479624,8.260375725,8.648894565,8.773606562,9.537339948,9.099632563,8.969099895,9.130637314,9.226741001,9.093759962,8.648484312,8.990607513,9.07916073,8.912549088,9.076031619,8.650702312,9.168544919,9.880870263,9.042526739,9.184030833,8.520003903,8.877272456,8.669124481,9.048595202,8.295958719,8.556217557,8.96942241,8.364242317,9.511066212,9.175241621,8.851853273,8.906435272,8.919687833,8.713126114,8.841510207,8.450106502,8.300185475,8.373549086,8.670503127,10.51102722,9.455972274,8.671257422,8.863583168,8.341543946,8.950558932,8.408191914,9.202213181,9.132806527,8.595017311,8.638324768
61_51403426,61.51403426,8.519682453,8.340654227,8.337730092,8.598096542,8.987348176,8.462839436,8.90411553,8.985962277,8.4040644,8.271757864,8.356830865,8.556533206,8.527129418,8.302547217,9.038345724,8.732690368,8.498157403,8.955786528,8.837621757,8.595503482,8.753794432,8.920437389,8.564726021,8.263411615,8.355439917,8.688585471,8.259188899,8.776275461,8.784211139,8.827271214,8.52806428,8.42010875,8.424611909,8.757016175,8.214164515,8.752956517,8.650914139,8.685050938,8.098521769,8.314310028,8.406907424,8.456898968,8.625281679,8.325393644,8.473276357,8.896750474,8.833867496,9.22529083,8.336194755,8.824493333,8.68707279,8.447736434,9.254142338,8.424497858,8.554120174,8.942203824,8.423268665,8.610976244,8.673709653,8.783135296,8.432923237,9.177258026,8.633380184,8.588920835,8.354352462,8.456190554,8.296223069,8.666322902,8.719415391,8.920056162,8.849860856,8.725143978,8.831554555,8.25947524,8.347189918,8.467427828,8.315192986,8.913820481,10.25923865,8.525440004,8.428426906,8.634518814,8.590244661,8.330139822,8.938111052,9.033966123,8.682206018,8.514231589,8.844898016,8.374603175,9.00656152,8.570059905,8.548816582,8.531674572,8.56658662,8.501101479,8.326165436,8.539354234,8.571447619,8.430192136,8.428041753,8.568198676,8.392840296,9.1239503,8.776100402,8.818046891,8.682697557,8.486244796,8.744505827,8.486235071,8.808083118,8.543656095,8.860692459,8.619256029,8.216872274,8.780720516,8.947709233,8.809192407,8.604532204,8.479064773,8.762375917,8.561632281,8.616469754,8.305691331,8.458122962,8.698246387,8.431940237,8.949265405,8.392690867,8.719924928,8.62526276,8.562956193,8.308279089,8.670144652,8.742816211,8.1317277,10.25450996,8.526904701,10.51102722,8.853640984,8.363545084,8.799087928,10.23054727,8.62274298,8.242281052,8.733373421,8.627032567,8.524879781,8.45578512
62_02886549,62.02886549,8.308185637,8.96975979,8.138866959,8.304481098,8.293405089,8.206624447,9.247260891,8.95683711,8.319925868,8.683995036,9.057079602,8.730388433,8.165460875,8.317168458,8.263632782,10.49109787,8.429297489,9.386890761,9.030621356,9.388855084,9.018839911,9.156585785,8.527412647,8.705006887,8.516250549,8.790036426,8.824763865,9.08700449,9.18455071,8.308323676,8.971855138,8.878593878,8.510187911,9.235629604,8.881417577,8.468290228,8.58835861,8.964407433,8.380876775,8.786678215,9.210972377,8.838703481,9.001968687,8.211162232,8.636619127,9.396301613,9.048251611,8.844895388,8.236827161,8.823890699,8.740815763,8.328822011,10.12299971,9.119033803,9.374714084,8.60104588,9.318287862,9.328958444,8.373319689,8.693824121,8.331055343,10.45205056,8.546413155,8.463020245,8.003250647,9.071113409,8.603033929,8.865308923,8.88297199,8.565511728,9.458741605,8.353100815,8.340434586,8.278248705,8.296188689,8.126860239,8.498090812,9.159596477,8.42060053,9.187196094,8.273245606,8.301180584,8.703312669,8.390225142,8.233740836,8.211725872,8.679068851,8.079748143,8.330462625,8.536667118,8.618753883,9.108559969,9.086725965,8.888265372,8.625116543,8.569035157,8.275658189,8.307693478,8.509482604,8.233690638,8.443412576,8.62516672,9.231349776,9.447076615,8.625264253,9.267352552,8.357114501,8.938740442,9.201704742,8.709563511,8.894773739,8.879703884,8.662164803,9.230707013,9.057463865,9.374906619,9.472963158,8.418994126,8.472854282,9.485846057,9.019968221,9.141777854,9.045727642,8.645456124,9.014363971,9.216659156,9.087090953,8.563260551,8.430959534,8.751929394,9.246464964,9.376322285,9.253377391,8.74849199,8.18078037,8.2176008,8.492538102,8.94760016,9.249270551,9.05696314,8.29994374,9.557980347,8.160532995,8.740387359,9.195629498,9.260392319,9.244663362,8.824059558,9.166968023
62_52431643,62.52431643,8.57771077,9.524728935,8.472401714,8.746988281,8.421625132,8.605888735,9.651834841,9.408751693,9.47419984,9.712757284,9.622798195,9.055217534,8.27840413,8.424038096,8.651253053,8.216582252,8.419693041,9.716034586,9.451061574,9.799396145,9.482743833,9.492583953,8.93961518,9.668514539,9.187149078,9.47420281,9.338639952,9.403025177,9.672965419,8.907536906,9.990769501,9.462339945,8.397120936,9.708441953,9.389637767,8.968864166,9.077737678,9.729330302,9.161357367,9.557714721,9.466977441,9.435440251,9.413900434,8.205382824,9.403531873,9.942162826,9.610164096,9.360199267,8.287300043,9.449033216,9.258976803,9.084055528,10.2516385,9.645271514,9.671446312,8.762860295,9.452080559,9.667273526,9.325377688,8.680333092,8.660829431,8.44698434,8.807233024,8.658918863,8.182958408,9.839518508,9.328291489,9.422321787,9.546615237,9.303904317,9.927833947,8.478925973,8.764934204,8.4778512,8.641316891,8.432042847,8.874158522,9.350818813,9.489066742,9.743169015,9.169198366,8.434631047,9.144253078,8.670976937,8.567194568,8.744204921,9.327098295,8.308761718,8.869252531,9.018608538,8.42065905,9.72077133,9.394996191,9.584338734,9.376808495,9.128365494,8.752584275,8.522108508,8.696470579,8.395146811,8.830235571,9.098295942,9.692520752,10.11194988,9.276952618,9.57707084,8.361004035,9.365262825,9.57815765,9.124114986,9.011328239,9.786825699,9.296363377,9.645350417,9.722638825,9.694436795,10.20377279,9.126416917,8.673072426,9.782369257,9.581454882,9.353562838,9.632964552,9.058597299,9.826175572,9.41999354,9.742331454,8.765967526,8.904424675,9.135330224,9.809056856,9.988574463,9.922831247,9.186782694,8.41920902,8.364357966,9.632507958,9.453008188,9.415712377,9.914691219,8.307947861,9.682429834,9.364109453,9.328274972,9.572700942,9.77329604,9.555897152,9.970584731,10.01485298
