"source_gene","target_gene","correlation","module"
"Dapma7bEVm000660","Dapma7bEVm000894",0.250784727091514,"greenyellow"
"Dapma7bEVm000542","Dapma7bEVm001221",0.30152948587824,"greenyellow"
"Dapma7bEVm000553","Dapma7bEVm001221",0.311357080824664,"greenyellow"
"Dapma7bEVm000660","Dapma7bEVm001221",0.30236536905218,"greenyellow"
"Dapma7bEVm000894","Dapma7bEVm001221",0.277569612969119,"greenyellow"
"Dapma7bEVm001169","Dapma7bEVm001221",0.31486831348662,"greenyellow"
"Dapma7bEVm001184","Dapma7bEVm001221",0.267532325620923,"greenyellow"
"Dapma7bEVm001208","Dapma7bEVm001221",0.274731482645934,"greenyellow"
"Dapma7bEVm001221","Dapma7bEVm001240",0.261700229505706,"greenyellow"
"Dapma7bEVm000542","Dapma7bEVm001344",0.272291023834916,"greenyellow"
"Dapma7bEVm000553","Dapma7bEVm001344",0.259756299711544,"greenyellow"
"Dapma7bEVm000660","Dapma7bEVm001344",0.258988614455452,"greenyellow"
"Dapma7bEVm001169","Dapma7bEVm001344",0.271039962622955,"greenyellow"
"Dapma7bEVm001221","Dapma7bEVm001344",0.281386318888504,"greenyellow"
"Dapma7bEVm001221","Dapma7bEVm001467",0.30562441934383,"greenyellow"
"Dapma7bEVm001344","Dapma7bEVm001467",0.272348355517793,"greenyellow"
"Dapma7bEVm000553","Dapma7bEVm001502",0.26286099228109,"greenyellow"
"Dapma7bEVm000660","Dapma7bEVm001502",0.255714151863057,"greenyellow"
"Dapma7bEVm000894","Dapma7bEVm001502",0.258641797680201,"greenyellow"
"Dapma7bEVm001169","Dapma7bEVm001502",0.258927950028373,"greenyellow"
"Dapma7bEVm001221","Dapma7bEVm001502",0.259199725154007,"greenyellow"
"Dapma7bEVm001221","Dapma7bEVm001592",0.322859799407154,"greenyellow"
"Dapma7bEVm001344","Dapma7bEVm001592",0.276763511093356,"greenyellow"
"Dapma7bEVm001502","Dapma7bEVm001592",0.264712527090638,"greenyellow"
"Dapma7bEVm001221","Dapma7bEVm001641",0.252556364180868,"greenyellow"
"Dapma7bEVm001221","Dapma7bEVm002020",0.261266049690404,"greenyellow"
"Dapma7bEVm001221","Dapma7bEVm002244",0.320794395273821,"greenyellow"
"Dapma7bEVm001344","Dapma7bEVm002244",0.279345336761037,"greenyellow"
"Dapma7bEVm001502","Dapma7bEVm002244",0.252208106591161,"greenyellow"
"Dapma7bEVm000542","Dapma7bEVm002284",0.272490102231955,"greenyellow"
"Dapma7bEVm000553","Dapma7bEVm002284",0.297087103459765,"greenyellow"
"Dapma7bEVm000660","Dapma7bEVm002284",0.277493417037037,"greenyellow"
"Dapma7bEVm000894","Dapma7bEVm002284",0.265747103440351,"greenyellow"
"Dapma7bEVm001169","Dapma7bEVm002284",0.292467944390799,"greenyellow"
"Dapma7bEVm001208","Dapma7bEVm002284",0.254808061855738,"greenyellow"
"Dapma7bEVm001221","Dapma7bEVm002284",0.300317758814464,"greenyellow"
"Dapma7bEVm001344","Dapma7bEVm002284",0.266835056866481,"greenyellow"
"Dapma7bEVm001467","Dapma7bEVm002284",0.282660051300148,"greenyellow"
"Dapma7bEVm001592","Dapma7bEVm002284",0.30297788891917,"greenyellow"
"Dapma7bEVm002020","Dapma7bEVm002284",0.255668382036484,"greenyellow"
"Dapma7bEVm002244","Dapma7bEVm002284",0.293142977706635,"greenyellow"
"Dapma7bEVm001221","Dapma7bEVm002299",0.295205522893279,"greenyellow"
"Dapma7bEVm001344","Dapma7bEVm002299",0.261758638068808,"greenyellow"
"Dapma7bEVm002284","Dapma7bEVm002299",0.268232961586382,"greenyellow"
"Dapma7bEVm001221","Dapma7bEVm002309",0.270619825328164,"greenyellow"
"Dapma7bEVm001502","Dapma7bEVm002309",0.26433913699014,"greenyellow"
"Dapma7bEVm002284","Dapma7bEVm002309",0.26295116011119,"greenyellow"
"Dapma7bEVm000553","Dapma7bEVm002396",0.257157578419312,"greenyellow"
