nodeName	altName	nodeAttr[nodesPresent, ]
Dapma7bEVm000016	NA	red
Dapma7bEVm000080	NA	green
Dapma7bEVm000150	NA	green
Dapma7bEVm000159	NA	green
Dapma7bEVm000198	NA	green
Dapma7bEVm000306	NA	green
Dapma7bEVm000315	NA	green
Dapma7bEVm000330	NA	green
Dapma7bEVm000335	NA	green
Dapma7bEVm000336	NA	green
Dapma7bEVm000361	NA	red
Dapma7bEVm000541	NA	green
Dapma7bEVm000605	NA	green
Dapma7bEVm000655	NA	green
Dapma7bEVm000685	NA	green
Dapma7bEVm000751	NA	green
Dapma7bEVm000772	NA	green
Dapma7bEVm000832	NA	red
Dapma7bEVm000899	NA	green
Dapma7bEVm000911	NA	green
Dapma7bEVm000925	NA	green
Dapma7bEVm000937	NA	red
Dapma7bEVm000944	NA	green
Dapma7bEVm000978	NA	green
Dapma7bEVm000991	NA	green
Dapma7bEVm001000	NA	green
Dapma7bEVm001013	NA	green
Dapma7bEVm001127	NA	red
Dapma7bEVm001236	NA	green
Dapma7bEVm001276	NA	red
Dapma7bEVm001279	NA	green
Dapma7bEVm001372	NA	red
Dapma7bEVm001386	NA	green
Dapma7bEVm001408	NA	green
Dapma7bEVm001515	NA	red
Dapma7bEVm001621	NA	green
Dapma7bEVm001627	NA	green
Dapma7bEVm001725	NA	green
Dapma7bEVm001747	NA	green
Dapma7bEVm001798	NA	green
Dapma7bEVm001829	NA	green
Dapma7bEVm001831	NA	green
Dapma7bEVm001923	NA	green
Dapma7bEVm002040	NA	green
Dapma7bEVm002073	NA	green
Dapma7bEVm002199	NA	green
Dapma7bEVm002279	NA	red
Dapma7bEVm002386	NA	green
Dapma7bEVm002403	NA	green
Dapma7bEVm002405	NA	red
Dapma7bEVm002423	NA	red
Dapma7bEVm002444	NA	green
Dapma7bEVm002445	NA	green
Dapma7bEVm002461	NA	green
Dapma7bEVm002498	NA	red
Dapma7bEVm002499	NA	red
Dapma7bEVm002520	NA	green
Dapma7bEVm002561	NA	green
Dapma7bEVm002652	NA	red
Dapma7bEVm002719	NA	green
Dapma7bEVm002853	NA	green
Dapma7bEVm002950	NA	green
Dapma7bEVm002954	NA	red
Dapma7bEVm003119	NA	green
Dapma7bEVm003133	NA	green
Dapma7bEVm003135	NA	red
Dapma7bEVm003143	NA	green
Dapma7bEVm003146	NA	red
Dapma7bEVm003176	NA	green
Dapma7bEVm003177	NA	green
Dapma7bEVm003203	NA	green
Dapma7bEVm003218	NA	green
Dapma7bEVm003220	NA	red
Dapma7bEVm003259	NA	green
Dapma7bEVm003302	NA	green
Dapma7bEVm003368	NA	red
Dapma7bEVm003461	NA	green
Dapma7bEVm003562	NA	green
Dapma7bEVm003587	NA	red
Dapma7bEVm003655	NA	green
Dapma7bEVm003783	NA	red
Dapma7bEVm003882	NA	green
Dapma7bEVm003953	NA	green
Dapma7bEVm003967	NA	green
Dapma7bEVm003997	NA	green
Dapma7bEVm004026	NA	green
Dapma7bEVm004282	NA	red
Dapma7bEVm004405	NA	green
Dapma7bEVm004470	NA	green
Dapma7bEVm004472	NA	green
Dapma7bEVm004490	NA	red
Dapma7bEVm004775	NA	green
Dapma7bEVm004797	NA	red
Dapma7bEVm004830	NA	green
Dapma7bEVm004855	NA	green
Dapma7bEVm004857	NA	red
Dapma7bEVm004897	NA	green
Dapma7bEVm005146	NA	green
Dapma7bEVm005265	NA	red
Dapma7bEVm005292	NA	green
Dapma7bEVm005293	NA	red
Dapma7bEVm005295	NA	green
Dapma7bEVm005340	NA	green
Dapma7bEVm005344	NA	red
Dapma7bEVm005358	NA	red
Dapma7bEVm005505	NA	green
Dapma7bEVm005544	NA	green
Dapma7bEVm005548	NA	red
Dapma7bEVm005653	NA	green
Dapma7bEVm005689	NA	green
Dapma7bEVm005959	NA	green
Dapma7bEVm005986	NA	red
Dapma7bEVm006005	NA	green
Dapma7bEVm006104	NA	red
Dapma7bEVm006387	NA	green
Dapma7bEVm006425	NA	green
Dapma7bEVm006468	NA	green
Dapma7bEVm006705	NA	green
Dapma7bEVm006715	NA	green
Dapma7bEVm006748	NA	green
Dapma7bEVm006765	NA	red
Dapma7bEVm006942	NA	green
Dapma7bEVm006952	NA	green
Dapma7bEVm007124	NA	green
Dapma7bEVm007153	NA	green
Dapma7bEVm007180	NA	green
Dapma7bEVm007221	NA	green
Dapma7bEVm007439	NA	green
Dapma7bEVm007506	NA	green
Dapma7bEVm007579	NA	green
Dapma7bEVm007604	NA	green
Dapma7bEVm007681	NA	green
Dapma7bEVm007766	NA	green
Dapma7bEVm007774	NA	green
Dapma7bEVm007847	NA	green
Dapma7bEVm008053	NA	green
Dapma7bEVm008129	NA	green
Dapma7bEVm008274	NA	green
Dapma7bEVm008305	NA	green
Dapma7bEVm008476	NA	green
Dapma7bEVm008585	NA	green
Dapma7bEVm008689	NA	red
Dapma7bEVm009025	NA	green
Dapma7bEVm009101	NA	green
Dapma7bEVm009513	NA	green
Dapma7bEVm009524	NA	green
Dapma7bEVm009557	NA	green
Dapma7bEVm009566	NA	green
Dapma7bEVm009573	NA	green
Dapma7bEVm009598	NA	green
Dapma7bEVm009626	NA	red
Dapma7bEVm009635	NA	green
Dapma7bEVm009659	NA	red
Dapma7bEVm009694	NA	green
Dapma7bEVm009709	NA	green
Dapma7bEVm009731	NA	green
Dapma7bEVm009757	NA	green
Dapma7bEVm009778	NA	green
Dapma7bEVm009824	NA	green
Dapma7bEVm009826	NA	green
Dapma7bEVm009845	NA	red
Dapma7bEVm009881	NA	red
Dapma7bEVm009924	NA	green
Dapma7bEVm009935	NA	green
Dapma7bEVm009953	NA	green
Dapma7bEVm009968	NA	green
Dapma7bEVm010045	NA	red
Dapma7bEVm010100	NA	green
Dapma7bEVm010156	NA	red
Dapma7bEVm010202	NA	green
Dapma7bEVm010241	NA	red
Dapma7bEVm010252	NA	green
Dapma7bEVm010257	NA	green
Dapma7bEVm010262	NA	green
Dapma7bEVm010303	NA	green
Dapma7bEVm010308	NA	green
Dapma7bEVm010325	NA	green
Dapma7bEVm010351	NA	green
Dapma7bEVm010396	NA	green
Dapma7bEVm010433	NA	green
Dapma7bEVm010435	NA	green
Dapma7bEVm010491	NA	red
Dapma7bEVm010547	NA	green
Dapma7bEVm010558	NA	green
Dapma7bEVm010592	NA	green
Dapma7bEVm010624	NA	green
Dapma7bEVm010665	NA	green
Dapma7bEVm010742	NA	green
Dapma7bEVm010815	NA	green
Dapma7bEVm010887	NA	green
Dapma7bEVm010892	NA	green
Dapma7bEVm010894	NA	green
Dapma7bEVm010900	NA	green
Dapma7bEVm011035	NA	red
Dapma7bEVm011039	NA	red
Dapma7bEVm011181	NA	green
Dapma7bEVm011186	NA	green
Dapma7bEVm011294	NA	green
Dapma7bEVm011295	NA	green
Dapma7bEVm011425	NA	green
