"gene","module","degree","betweenness","closeness"
"Dapma7bEVm012887","MEblue",163,0.000667766129491139,2.82051023839923
"Dapma7bEVm014952","MEblue",237,0.000634848080854252,3.39838831862946
"Dapma7bEVm009069","MEblue",144,0.000548790896560675,2.67176118910594
"Dapma7bEVm025747","MEblue",165,0.000386316813645754,2.80875217060209
"Dapma7bEVm013613","MEblue",224,0.000380438590674881,3.25884830421679
"Dapma7bEVm020597","MEblue",185,0.000343758479336635,2.99398006452342
"Dapma7bEVm030545","MEblue",201,0.000328945357450036,3.11533207242488
"Dapma7bEVm030581","MEblue",120,0.000297202953407324,2.52286204538266
"Dapma7bEVm015752","MEblue",161,0.000287797796653927,2.78179479411301
"Dapma7bEVm011148","MEblue",182,0.000252763587747526,2.96271434179856
"Dapma7bEVm012926","MEblue",174,0.000185751845879577,2.90042317277897
"Dapma7bEVm029524","MEblue",213,0.000182930298853558,3.22344176276946
"Dapma7bEVm024912","MEblue",215,0.000175406173450841,3.10436345295082
"Dapma7bEVm021233","MEblue",67,0.000147190703190652,2.23104962147864
"Dapma7bEVm028863","MEblue",152,0.000137785546437256,2.69208269979017
"Dapma7bEVm009961","MEblue",236,0.000134963999411237,3.27590177625517
"Dapma7bEVm022458","MEblue",171,0.000112861881040756,2.84161478443142
"Dapma7bEVm024699","MEblue",188,0.000112626752121921,2.97397169393367
"Dapma7bEVm009243","MEblue",168,0.000105337755638039,2.82049152660408
"Dapma7bEVm025271","MEblue",218,9.99297905048359e-05,3.15439932998991
"Dapma7bEVm009088","MEblue",213,8.48815396994018e-05,3.13821046610652
"Dapma7bEVm018676","MEblue",94,7.26548359199866e-05,2.35731225817468
"Dapma7bEVm020523","MEblue",81,6.01930032217364e-05,2.28097131956426
"Dapma7bEVm013879","MEblue",184,5.59606826827081e-05,2.89989737661447
"Dapma7bEVm022443","MEblue",69,4.46744945786325e-05,2.24046581062424
"Dapma7bEVm018570","MEblue",85,4.23232053902834e-05,2.32512053111291
"Dapma7bEVm029454","MEblue",50,3.64449824194107e-05,2.16657955192814
"Dapma7bEVm013460","MEblue",55,3.50342089064013e-05,2.18710084996719
"Dapma7bEVm026583","MEblue",183,3.26829197180522e-05,2.9237350126703
"Dapma7bEVm018462","MEblue",55,3.22126618803824e-05,2.14199134899094
"Dapma7bEVm020831","MEblue",56,2.16318605328115e-05,2.16202788761322
