"module","trait","correlation","padj"
"MEblue","Control",-0.106331074749847,0.70982078828891
"MEblue","D01",-0.0104566357965172,0.964918322074591
"MEblue","D02",0.0223296545385558,0.93362772761484
"MEblue","D03",0.00374362027328369,0.98646857578955
"MEblue","D04",-0.0468759880478879,0.919135815895811
"MEblue","D05",-0.288516824287735,0.0200630805844801
"MEblue","D06",0.127019820193963,0.591752352708413
"MEblue","D07",0.111652455276285,0.689081367168826
"MEblue","D08",-0.0806800705070822,0.826620628559187
"MEblue","D09",0.0219257498892254,0.93362772761484
"MEblue","D10",0.0976975699403122,0.754202597172127
"MEblue","D11",0.0726607867074732,0.864639393083017
"MEblue","D12",0.0463044046798453,0.919135815895811
"MEdarkturquoise","Control",0.0192937690742477,0.948477130963672
"MEdarkturquoise","D01",-0.11648006756832,0.649366870241519
"MEdarkturquoise","D02",-0.0563605901227454,0.891078548715994
"MEdarkturquoise","D03",0.0297622534158245,0.924800251458162
"MEdarkturquoise","D04",0.036222111004127,0.919135815895811
"MEdarkturquoise","D05",0.0329232169116588,0.924800251458162
"MEdarkturquoise","D06",0.0856904135816068,0.806663913044002
"MEdarkturquoise","D07",-0.0739137594029706,0.854214187217444
"MEdarkturquoise","D08",-0.0657903567464288,0.88397435420141
"MEdarkturquoise","D09",0.0693591880046171,0.88397435420141
"MEdarkturquoise","D10",0.0747521192406188,0.854214187217444
"MEdarkturquoise","D11",-0.0849851308182455,0.806663913044002
"MEdarkturquoise","D12",0.0548844214047989,0.891078548715994
"MEdarkgrey","Control",0.0965683366544149,0.754202597172127
"MEdarkgrey","D01",-0.0527132343575403,0.891078548715994
"MEdarkgrey","D02",-0.0474754267427573,0.919135815895811
"MEdarkgrey","D03",-0.0444888654645274,0.919135815895811
"MEdarkgrey","D04",0.0266483599597192,0.924800251458162
"MEdarkgrey","D05",-0.126696508637591,0.591752352708413
"MEdarkgrey","D06",-0.0380162734124602,0.919135815895811
"MEdarkgrey","D07",-0.0264928529022499,0.924800251458162
"MEdarkgrey","D08",-0.108075287791235,0.70982078828891
"MEdarkgrey","D09",-0.115044159269908,0.649366870241519
"MEdarkgrey","D10",0.164782779467955,0.40830220074493
"MEdarkgrey","D11",0.177906468876234,0.40830220074493
"MEdarkgrey","D12",0.119912230739069,0.612005461464165
"MEblack","Control",0.138582747930064,0.505817075900641
"MEblack","D01",-0.0414866493527171,0.919135815895811
"MEblack","D02",-0.0548596123337873,0.891078548715994
"MEblack","D03",-0.0949018015901962,0.754202597172127
"MEblack","D04",-0.0624787672076219,0.88397435420141
"MEblack","D05",0.00822603022223296,0.978990419519843
"MEblack","D06",-0.0124121876513655,0.964754774199999
"MEblack","D07",0.0587283314616917,0.891078548715994
"MEblack","D08",0.0421582301913693,0.919135815895811
"MEblack","D09",0.0437927115487683,0.919135815895811
"MEblack","D10",-0.0117604602237898,0.964754774199999
"MEblack","D11",0.0130259597842371,0.964754774199999
"MEblack","D12",0.011867801155993,0.964754774199999
"MEtan","Control",-0.0225473149465481,0.93362772761484
"MEtan","D01",-0.200320500849862,0.363398447266743
"MEtan","D02",-0.140629901976947,0.503523429161975
"MEtan","D03",-0.0267794293190623,0.924800251458162
"MEtan","D04",-0.100299132371776,0.75288607858533
"MEtan","D05",-0.168002472314086,0.40830220074493
"MEtan","D06",0.0600405000052559,0.891078548715994
"MEtan","D07",0.183935887160151,0.405305903486579
"MEtan","D08",-0.16415332679275,0.40830220074493
"MEtan","D09",0.0750549410594623,0.854214187217444
"MEtan","D10",0.162206041685406,0.40830220074493
"MEtan","D11",0.163100735873957,0.40830220074493
"MEtan","D12",0.172132924308053,0.40830220074493
"MEyellow","Control",0.176608161325474,0.40830220074493
"MEyellow","D01",0.128571077324364,0.591752352708413
"MEyellow","D02",-0.0522391805413617,0.891078548715994
"MEyellow","D03",-0.157400032386041,0.40830220074493
"MEyellow","D04",-0.156485357037432,0.40830220074493
"MEyellow","D05",0.0845950870007863,0.806663913044002
"MEyellow","D06",0.101456110319647,0.75288607858533
"MEyellow","D07",0.158589709633483,0.40830220074493
"MEyellow","D08",0.0524010158325973,0.891078548715994
"MEyellow","D09",-0.135907589905992,0.52925834863097
"MEyellow","D10",-0.0559072871708891,0.891078548715994
"MEyellow","D11",-0.0661881914754151,0.88397435420141
"MEyellow","D12",-0.0290521065722046,0.924800251458162
"MEbrown","Control",0.0024472412594453,0.98646857578955
"MEbrown","D01",-0.0542789893214217,0.891078548715994
"MEbrown","D02",-0.00740025020377105,0.980289899000926
"MEbrown","D03",-0.0136217017575668,0.964754774199999
"MEbrown","D04",0.00246036766237538,0.98646857578955
"MEbrown","D05",0.316525263817445,0.00929196908416515
"MEbrown","D06",-0.0370962427200869,0.919135815895811
"MEbrown","D07",-0.0336632020521845,0.924800251458162
"MEbrown","D08",-0.0303757325248133,0.924800251458162
"MEbrown","D09",-0.0241612992675852,0.929744510024529
"MEbrown","D10",-0.0266505054937776,0.924800251458162
"MEbrown","D11",-0.0559339713997183,0.891078548715994
"MEbrown","D12",-0.0375714160992454,0.919135815895811
"MEcyan","Control",-0.0220334433465272,0.93362772761484
"MEcyan","D01",-0.026342598380615,0.924800251458162
"MEcyan","D02",-0.0250681497886301,0.927160054223171
"MEcyan","D03",-0.0682999730393042,0.88397435420141
"MEcyan","D04",-0.0535965046931508,0.891078548715994
"MEcyan","D05",0.126175072693704,0.591752352708413
"MEcyan","D06",0.0259772890373564,0.924800251458162
"MEcyan","D07",0.017303475451124,0.952218439692556
"MEcyan","D08",-0.0616860581926594,0.88397435420141
"MEcyan","D09",-0.0169927734795249,0.952218439692556
"MEcyan","D10",0.0884679653241752,0.784677229382162
"MEcyan","D11",0.00129234442196756,0.987477300988608
"MEcyan","D12",0.00868499988768947,0.978733258430611
"MEpink","Control",-0.190387696482668,0.405305903486579
"MEpink","D01",-0.0421774170771756,0.919135815895811
"MEpink","D02",0.0435371004646937,0.919135815895811
"MEpink","D03",0.184063593717007,0.405305903486579
"MEpink","D04",0.0836297992001431,0.811883488706866
"MEpink","D05",-0.0911826285241764,0.762261132779973
"MEpink","D06",0.0168038379891279,0.952218439692556
"MEpink","D07",-0.0650313640880245,0.88397435420141
"MEpink","D08",-0.0394909119444262,0.919135815895811
"MEpink","D09",-0.0436040828388116,0.919135815895811
"MEpink","D10",-0.0551006182176931,0.891078548715994
"MEpink","D11",0.0584792960478989,0.891078548715994
"MEpink","D12",0.0875933068200398,0.788668832466188
"MEroyalblue","Control",-0.0274316461384713,0.924800251458162
"MEroyalblue","D01",-0.0633558269148518,0.88397435420141
"MEroyalblue","D02",0.07083675491195,0.883794644175474
"MEroyalblue","D03",0.0618414406949184,0.88397435420141
"MEroyalblue","D04",0.150515634735086,0.466816626748943
"MEroyalblue","D05",0.103001164369271,0.743615012168563
"MEroyalblue","D06",-0.0632593952390011,0.88397435420141
"MEroyalblue","D07",-0.0428483046529709,0.919135815895811
"MEroyalblue","D08",-0.0104841666379853,0.964918322074591
"MEroyalblue","D09",-0.106762514698729,0.70982078828891
"MEroyalblue","D10",0.0362657224419342,0.919135815895811
"MEroyalblue","D11",-0.047913545749335,0.919135815895811
"MEroyalblue","D12",-0.0680226705287254,0.88397435420141
"MEorange","Control",0.0651743697859228,0.88397435420141
"MEorange","D01",0.149515809325214,0.466816626748943
"MEorange","D02",0.0298961833586936,0.924800251458162
"MEorange","D03",-0.105888935427865,0.70982078828891
"MEorange","D04",0.0286133618654285,0.924800251458162
"MEorange","D05",0.188341685718538,0.405305903486579
"MEorange","D06",-0.0644968195639925,0.88397435420141
"MEorange","D07",-0.0754970519950041,0.854214187217444
"MEorange","D08",-0.00589077534927209,0.983189489327366
"MEorange","D09",-0.0122002011481922,0.964754774199999
"MEorange","D10",-0.0376921686533453,0.919135815895811
"MEorange","D11",-0.0669915740243121,0.88397435420141
"MEorange","D12",-0.0747859467419245,0.854214187217444
"MEturquoise","Control",0.0965958231015242,0.754202597172127
"MEturquoise","D01",0.00327816698089167,0.98646857578955
"MEturquoise","D02",0.00205272412973793,0.98646857578955
"MEturquoise","D03",0.0177770406283115,0.952218439692556
"MEturquoise","D04",0.0925433881599202,0.762261132779973
"MEturquoise","D05",0.0824665826248403,0.811883488706866
"MEturquoise","D06",-0.120252872859765,0.612005461464165
"MEturquoise","D07",-0.134542534650609,0.535517863948971
"MEturquoise","D08",0.142265517427637,0.503523429161975
"MEturquoise","D09",0.0143800406820501,0.96438353194046
"MEturquoise","D10",-0.124458794286938,0.604427569852166
"MEturquoise","D11",-0.0633328969395547,0.88397435420141
"MEturquoise","D12",0.0180510146918828,0.952218439692556
"MEdarkred","Control",-0.0915429714514483,0.762261132779973
"MEdarkred","D01",-0.0444446409965446,0.919135815895811
"MEdarkred","D02",0.0430323310230025,0.919135815895811
"MEdarkred","D03",-0.0928081887008651,0.762261132779973
"MEdarkred","D04",0.0742926414087235,0.854214187217444
"MEdarkred","D05",-0.0150961716410615,0.962872169104792
"MEdarkred","D06",0.144993054981692,0.498394229154535
"MEdarkred","D07",0.0776400397467494,0.849749024934631
"MEdarkred","D08",-0.133594237258904,0.536330713003359
"MEdarkred","D09",0.158062344526772,0.40830220074493
"MEdarkred","D10",0.0510520927945787,0.900602618738615
"MEdarkred","D11",-0.166406237219363,0.40830220074493
"MEdarkred","D12",-0.0306001563916477,0.924800251458162
"MEgreenyellow","Control",0.00679711300280037,0.980289899000926
"MEgreenyellow","D01",0.0418287083991482,0.919135815895811
"MEgreenyellow","D02",0.121112844253779,0.612005461464165
"MEgreenyellow","D03",-0.0265065153368577,0.924800251458162
"MEgreenyellow","D04",0.0954255692683632,0.754202597172127
"MEgreenyellow","D05",0.123411961170641,0.607611638878388
"MEgreenyellow","D06",0.00183157865605786,0.98646857578955
"MEgreenyellow","D07",-0.0257050902166771,0.924800251458162
"MEgreenyellow","D08",0.0325905343498366,0.924800251458162
"MEgreenyellow","D09",0.0784050814672399,0.846971431350374
"MEgreenyellow","D10",-0.0406259595626566,0.919135815895811
"MEgreenyellow","D11",-0.236503736864088,0.106788201244715
"MEgreenyellow","D12",-0.170174633068962,0.40830220074493
"MEgreen","Control",0.10598049611037,0.70982078828891
"MEgreen","D01",0.274530532554307,0.0267294210692995
"MEgreen","D02",0.109602865029834,0.709123584289986
"MEgreen","D03",-0.11562655188842,0.649366870241519
"MEgreen","D04",0.00721676114983089,0.980289899000926
"MEgreen","D05",0.157050230016378,0.40830220074493
"MEgreen","D06",0.010920112061014,0.964918322074591
"MEgreen","D07",-0.0828078544593402,0.811883488706866
"MEgreen","D08",0.172560157924955,0.40830220074493
"MEgreen","D09",-0.0366681870518342,0.919135815895811
"MEgreen","D10",-0.0631814148547905,0.88397435420141
"MEgreen","D11",-0.235956477958599,0.106788201244715
"MEgreen","D12",-0.274191487131535,0.0267294210692995
"MEmidnightblue","Control",0.184929215698318,0.405305903486579
"MEmidnightblue","D01",0.181370416451783,0.40830220074493
"MEmidnightblue","D02",0.0349037857020197,0.924800251458162
"MEmidnightblue","D03",-0.0208710509632179,0.935856003336249
"MEmidnightblue","D04",-0.00325843284454097,0.98646857578955
"MEmidnightblue","D05",0.0281852729991083,0.924800251458162
"MEmidnightblue","D06",0.0386748810101419,0.919135815895811
"MEmidnightblue","D07",-0.0603440980449265,0.891078548715994
"MEmidnightblue","D08",0.138932681452763,0.505817075900641
"MEmidnightblue","D09",0.0324580209127999,0.924800251458162
"MEmidnightblue","D10",0.0384018510745684,0.919135815895811
"MEmidnightblue","D11",-0.161949446281929,0.40830220074493
"MEmidnightblue","D12",-0.380081049822516,0.00037618959353092
"MEdarkgreen","Control",0.142337835983189,0.503523429161975
"MEdarkgreen","D01",0.038031421789131,0.919135815895811
"MEdarkgreen","D02",-0.0342377963715422,0.924800251458162
"MEdarkgreen","D03",0.100837271005444,0.75288607858533
"MEdarkgreen","D04",0.0149529061190295,0.962872169104792
"MEdarkgreen","D05",-0.0803213253244489,0.826620628559187
"MEdarkgreen","D06",0.0410138680744232,0.919135815895811
"MEdarkgreen","D07",-0.00533065898591046,0.983189489327366
"MEdarkgreen","D08",0.0213133087154897,0.935680506595732
"MEdarkgreen","D09",0.0369254693399339,0.919135815895811
"MEdarkgreen","D10",0.0912217047844915,0.762261132779973
"MEdarkgreen","D11",-0.0239826101276016,0.929744510024529
"MEdarkgreen","D12",-0.303236329885751,0.0126310467893491
"MEsalmon","Control",0.146094383108735,0.497684814899057
"MEsalmon","D01",-0.0948687355879289,0.754202597172127
"MEsalmon","D02",0.00520696823458834,0.983189489327366
"MEsalmon","D03",0.0270482373499385,0.924800251458162
"MEsalmon","D04",0.0568508588352201,0.891078548715994
"MEsalmon","D05",-0.140744488973196,0.503523429161975
"MEsalmon","D06",-0.121204881400351,0.612005461464165
"MEsalmon","D07",0.0948834899234082,0.754202597172127
"MEsalmon","D08",-0.052308058382046,0.891078548715994
"MEsalmon","D09",0.0556646743045609,0.891078548715994
"MEsalmon","D10",0.0685855145371582,0.88397435420141
"MEsalmon","D11",0.090513022795106,0.763066893201919
"MEsalmon","D12",-0.0951527832859628,0.754202597172127
"MEblue","Control",-0.106331074749847,0.442762130760983
"MEblue","1x",0.0191107003744948,0.899755057596664
"MEblue","10x",0.0225957784755639,0.899755057596664
"MEdarkturquoise","Control",0.0192937690742477,0.899755057596664
"MEdarkturquoise","1x",0.0495330312781254,0.740255952714783
"MEdarkturquoise","10x",-0.0571006701243055,0.697775280119036
