"module","trait","correlation","padj"
"MEdarkturquoise","REF",0.0453035649344668,0.825826206768351
"MEdarkturquoise","Site",0.0202836322324092,0.858399400598253
"MEdarkturquoise","Description",-0.0443168639733222,0.825826206768351
"MEdarkgrey","REF",-0.038013636929179,0.825826206768351
"MEdarkgrey","Site",0.0930241478948546,0.508253408551242
"MEdarkgrey","Description",-0.124647199475998,0.315576215464098
"MEblack","REF",0.0900833467293584,0.508253408551242
"MEblack","Site",0.0322931317400563,0.829073368196277
"MEblack","Description",-0.148284853648159,0.236754808149768
"MEdarkred","REF",-0.138872508423626,0.286225513602652
"MEdarkred","Site",0.112071488814606,0.387277339328816
"MEdarkred","Description",0.128302758909526,0.315576215464098
"MEtan","REF",0.0390888547635635,0.825826206768351
"MEtan","Site",0.360887499754308,0.000308386314690297
"MEtan","Description",0.028560441147119,0.829073368196277
"MEdarkgreen","REF",0.00931538017967483,0.927089730744688
"MEdarkgreen","Site",-0.127269295818174,0.315576215464098
"MEdarkgreen","Description",-0.163119784219666,0.207454289370413
"MEsalmon","REF",0.171431498678916,0.176440073313787
"MEsalmon","Site",0.0239284313698992,0.850023133196971
"MEsalmon","Description",-0.151205611225523,0.233076392183401
"MEpink","REF",0.109696067995163,0.391938618689674
"MEpink","Site",0.0276513434481705,0.829073368196277
"MEpink","Description",0.177115008308955,0.171386973120567
"MEroyalblue","REF",-0.0536590955081502,0.806698994447804
"MEroyalblue","Site",-0.0707554613445769,0.678599874186088
"MEroyalblue","Description",0.0527354383125566,0.806698994447804
"MEgreenyellow","REF",-0.254795569174681,0.0223000431537379
"MEgreenyellow","Site",-0.223240858309802,0.0542937615711649
"MEgreenyellow","Description",-0.0295900388437528,0.829073368196277
"MElightcyan","REF",-0.181201729811819,0.171386973120567
"MElightcyan","Site",-0.0615642410279363,0.766486709440181
"MElightcyan","Description",0.0424478690812073,0.825826206768351
"MEgreen","REF",-0.0334741767946399,0.829073368196277
"MEgreen","Site",-0.336815272468202,0.000676108586077122
"MEgreen","Description",-0.15677889508465,0.230007670636119
"MEgrey60","REF",-0.230298551863182,0.0494627531569728
"MEgrey60","Site",-0.303896390816303,0.00281573913339217
"MEgrey60","Description",-0.0525731242673014,0.806698994447804
"MEyellow","REF",-0.175463259296864,0.171386973120567
"MEyellow","Site",-0.13194456647637,0.315576215464098
"MEyellow","Description",-0.178671954823665,0.171386973120567
"MEblue","REF",-0.0364823830831247,0.825826206768351
"MEblue","Site",-0.0712287161273851,0.678599874186088
"MEblue","Description",-0.0194912829857078,0.858399400598253
"MEcyan","REF",-0.151839654218221,0.233076392183401
"MEcyan","Site",0.0456196679687408,0.825826206768351
"MEcyan","Description",0.00700723663918218,0.932178803287249
"MEorange","REF",0.041356090782613,0.825826206768351
"MEorange","Site",-0.125476542529609,0.315576215464098
"MEorange","Description",0.0180352233187444,0.858399400598253
"MEturquoise","REF",0.112187726569238,0.387277339328816
"MEturquoise","Site",-0.0973580699257035,0.49000039706949
"MEturquoise","Description",-0.091508815015864,0.508253408551242
