"module","trait","correlation","padj"
"MEblue","D05",-0.288516824287735,0.0200630805844801
"MEbrown","D05",0.316525263817445,0.00929196908416515
"MEgreen","D01",0.274530532554307,0.0267294210692995
"MEgreen","D12",-0.274191487131535,0.0267294210692995
"MEmidnightblue","D12",-0.380081049822516,0.00037618959353092
"MEdarkgreen","D12",-0.303236329885751,0.0126310467893491
"MEyellow","1x",-0.300273192982878,0.0102035122873197
"MEpink","1x",0.276941300685085,0.0113374339399829
"MEgreenyellow","1x",-0.272502742960945,0.0113374339399829
"MEgreenyellow","10x",0.269836695896531,0.0113374339399829
"MEgreen","1x",-0.255334540618642,0.0174244982365788
"MEtan","604-75-1",-0.289516281568715,0.0292877562951074
"MEbrown","143-24-8",0.279481029186572,0.0348900784262624
"MEgreen","25057-89-0",-0.268501097709613,0.0459370430673961
"MEgreen","15545-48-9",0.277133042299482,0.0357797223066385
"MEgreen","171118-09-5",0.273590926121604,0.0390455649937582
"MEgreen","604-75-1",0.346087619450243,0.00344988297672773
"MEgreen","27203-92-5",0.299103230127623,0.0289054970907529
"MEgreen","791-28-6",-0.287658681846719,0.0292877562951074
"MEmidnightblue","25057-89-0",-0.317352325564845,0.0136599790619047
"MEmidnightblue","657-24-9",-0.364062427937996,0.00167633846595334
"MEmidnightblue","604-75-1",0.28640200941652,0.0292877562951074
"MEmidnightblue","791-28-6",-0.396773147178446,0.00035927407991815
"MEdarkgreen","657-24-9",-0.28955109677802,0.0292877562951074
"MEdarkgreen","791-28-6",-0.285056020667866,0.0292877562951074
