"gene","module"
"Dapma7bEVm000015","tan"
"Dapma7bEVm000077","tan"
"Dapma7bEVm000094","tan"
"Dapma7bEVm000115","tan"
"Dapma7bEVm000133","tan"
"Dapma7bEVm000182","tan"
"Dapma7bEVm000342","tan"
"Dapma7bEVm000384","tan"
"Dapma7bEVm000398","tan"
"Dapma7bEVm000407","tan"
"Dapma7bEVm000420","tan"
"Dapma7bEVm000431","tan"
"Dapma7bEVm000467","tan"
"Dapma7bEVm000513","tan"
"Dapma7bEVm000567","tan"
"Dapma7bEVm000619","tan"
"Dapma7bEVm000644","tan"
"Dapma7bEVm000686","tan"
"Dapma7bEVm000691","tan"
"Dapma7bEVm000692","tan"
"Dapma7bEVm000703","tan"
"Dapma7bEVm000719","tan"
"Dapma7bEVm000735","tan"
"Dapma7bEVm000776","tan"
"Dapma7bEVm000777","tan"
"Dapma7bEVm000825","tan"
"Dapma7bEVm000833","tan"
"Dapma7bEVm000838","tan"
"Dapma7bEVm000869","tan"
"Dapma7bEVm000897","tan"
"Dapma7bEVm000900","tan"
"Dapma7bEVm000908","tan"
"Dapma7bEVm000917","tan"
"Dapma7bEVm001043","tan"
"Dapma7bEVm001057","tan"
"Dapma7bEVm001062","tan"
"Dapma7bEVm001064","tan"
"Dapma7bEVm001076","tan"
"Dapma7bEVm001149","tan"
"Dapma7bEVm001152","tan"
"Dapma7bEVm001187","tan"
"Dapma7bEVm001188","tan"
"Dapma7bEVm001217","tan"
"Dapma7bEVm001237","tan"
"Dapma7bEVm001265","tan"
"Dapma7bEVm001270","tan"
"Dapma7bEVm001271","tan"
"Dapma7bEVm001282","tan"
"Dapma7bEVm001407","tan"
"Dapma7bEVm001410","tan"
"Dapma7bEVm001431","tan"
"Dapma7bEVm001435","tan"
"Dapma7bEVm001444","tan"
"Dapma7bEVm001480","tan"
"Dapma7bEVm001521","tan"
"Dapma7bEVm001525","tan"
"Dapma7bEVm001572","tan"
"Dapma7bEVm001605","tan"
"Dapma7bEVm001606","tan"
"Dapma7bEVm001654","tan"
"Dapma7bEVm001674","tan"
"Dapma7bEVm001683","tan"
"Dapma7bEVm001700","tan"
"Dapma7bEVm001735","tan"
"Dapma7bEVm001745","tan"
"Dapma7bEVm001767","tan"
"Dapma7bEVm001895","tan"
"Dapma7bEVm001908","tan"
"Dapma7bEVm001921","tan"
"Dapma7bEVm001922","tan"
"Dapma7bEVm001929","tan"
"Dapma7bEVm001966","tan"
"Dapma7bEVm002017","tan"
"Dapma7bEVm002018","tan"
"Dapma7bEVm002043","tan"
"Dapma7bEVm002054","tan"
"Dapma7bEVm002090","tan"
"Dapma7bEVm002123","tan"
"Dapma7bEVm002131","tan"
"Dapma7bEVm002179","tan"
"Dapma7bEVm002183","tan"
"Dapma7bEVm002257","tan"
"Dapma7bEVm002275","tan"
"Dapma7bEVm002283","tan"
"Dapma7bEVm002305","tan"
"Dapma7bEVm002330","tan"
"Dapma7bEVm002371","tan"
"Dapma7bEVm002381","tan"
"Dapma7bEVm002389","tan"
"Dapma7bEVm002527","tan"
"Dapma7bEVm002534","tan"
"Dapma7bEVm002576","tan"
