"source_metabolite","target_metabolite","tom_weight","module"
"114_5595388","152_0823601",0.285513368180839,"MEsalmon"
"114_5626974","152_0823601",0.282876134357278,"MEsalmon"
"152_0823601","157_061433",0.252603101885918,"MEsalmon"
"110_0717633","157_0744337",0.257520961605089,"MEsalmon"
"110_0717633","157_08076",0.253073453538029,"MEsalmon"
"146_0716624","164_0824199",0.253937604362413,"MEsalmon"
"152_0823601","164_0824199",0.262502895986537,"MEsalmon"
"157_0744337","164_0824199",0.275809689487043,"MEsalmon"
"157_08076","164_0824199",0.270480234474719,"MEsalmon"
"146_0716624","170_0930714",0.259193852408559,"MEsalmon"
"152_0823601","170_0930714",0.259628633972251,"MEsalmon"
"164_0824199","170_0930714",0.285900786605192,"MEsalmon"
"146_0716624","180_0773581",0.259113307885453,"MEsalmon"
"152_0823601","180_0773581",0.266156401098427,"MEsalmon"
"157_0744337","180_0773581",0.272425957892864,"MEsalmon"
"157_08076","180_0773581",0.267398554203854,"MEsalmon"
"164_0824199","180_0773581",0.28217760930209,"MEsalmon"
"170_0930714","180_0773581",0.284012454838436,"MEsalmon"
"157_0744337","181_1090049",0.2578458685896,"MEsalmon"
"157_08076","181_1090049",0.253427783793345,"MEsalmon"
"164_0824199","181_1090049",0.268643448934059,"MEsalmon"
"170_0930714","181_1090049",0.271723789237609,"MEsalmon"
"180_0773581","181_1090049",0.277265654840507,"MEsalmon"
"152_0823601","198_0877851",0.282810835349433,"MEsalmon"
"114_5626974","199_0911534",0.250220112970899,"MEsalmon"
"152_0823601","199_0911534",0.29456086426303,"MEsalmon"
"136_0871683","209_1039279",0.258006253058028,"MEsalmon"
"152_0823601","209_1039279",0.270859105562133,"MEsalmon"
"157_0744337","209_1039279",0.270743734203186,"MEsalmon"
"157_08076","209_1039279",0.26586647125728,"MEsalmon"
"164_0824199","209_1039279",0.287384543685316,"MEsalmon"
"170_0930714","209_1039279",0.292010485249886,"MEsalmon"
"180_0773581","209_1039279",0.296898286632304,"MEsalmon"
"181_1090049","209_1039279",0.273855643690746,"MEsalmon"
"192_0772858","209_1039279",0.253383679887074,"MEsalmon"
"152_0823601","210_1072766",0.258954273736178,"MEsalmon"
"164_0824199","210_1072766",0.272058130692793,"MEsalmon"
"170_0930714","210_1072766",0.275137016597153,"MEsalmon"
