"","MEgreenyellow","MElightcyan","MEmagenta","MEmidnightblue","MEsalmon","MEtan","MEturquoise","MElightyellow","MEblue","MEgreen","MElightgreen","MEpurple","MEblack","MEcyan","MEgrey60","MEroyalblue","MEpink","MEred","MEgrey"
"CK07",-0.0725320956237685,0.0144780585220646,-0.0405500240073728,-0.0419941799457271,0.109616183892975,-0.0382317709421935,0.184081373875643,0.0317589450391912,0.111148209336138,0.17102756274815,0.0286675669519118,-0.0159323421037282,-0.0784483825173063,-0.101301759616781,-0.13181553026087,-0.0931172361400519,-0.0450751593779999,-0.00625999456817134,0.0843934258875757
"CK08",-0.0317651308635487,-0.000351079955068948,-0.0944839679303761,-0.04851839514883,-0.0241614411223957,0.0708519009818613,-5.90705737669728e-05,0.204280440556055,0.0750747388483133,0.0835358689778533,0.0127568309536553,-0.0242395708357212,0.0795299305320021,0.0343890756075913,-0.00807256639017592,-0.0595562160477049,-0.0708267135981459,-0.0339758666305353,-0.0195372238140011
"CK09",0.258908320652821,0.291706438193231,-0.0501550546970442,0.084171069935514,-0.0137370129704521,0.00558912015818173,0.0522083038145681,0.000260673867741783,-0.0248264633001601,0.051320047966482,-0.0306360520437476,-0.0827050136067277,-0.136608739582404,-0.146509413367998,-0.102851029169244,-0.0689776820859701,-0.0339082019241847,0.130527321580834,0.0590960212962063
"CK10",0.142405561786524,0.183771276922947,-0.110113406126757,0.0443612657390597,0.0237808755431422,-0.0604279751281841,0.0605444261756593,0.0132354283158231,0.00111384817674125,0.0865931224856362,-0.16921093492921,0.0366316658921244,-0.136126573720299,-0.096831387345689,-0.167563757737733,-0.133134273197468,-0.0682112104872036,0.041437464439118,0.0255494624103646
"CK11",0.0120248439085514,0.0403705321475667,-0.00156806214310955,-0.038351782556609,-0.00283032595243198,-0.0609003044301729,0.0859036298275051,0.0476394313182266,0.117612567389847,0.132432557050218,-0.0136493054525632,-0.0428756547991637,-0.0895366136179177,-0.11122074505061,-0.148067249700168,-0.0656424340507324,0.0231856445573112,0.00493819621965826,0.12517539846213
"CK12",0.0821257022657271,0.0563070561208696,0.145906712178257,0.108983103278138,0.0536674940536864,0.00175528841408198,-0.0514212239397086,-0.037708773004513,-0.0546527413892022,-0.074316184651998,-0.0313908722485971,0.0887958593571969,-0.119172845335004,-0.1173271509001,-0.0392516051168341,-0.00227330527388503,0.0418558212402832,0.16509105838381,0.0104304036385731
"D01A1",-0.0199635506473216,-0.098916976495549,0.116849692640252,-0.000345213292761371,-0.0633573551570826,-0.0569182743981687,-0.0854842297059487,-0.0391422518799274,-0.0724232915422806,-0.13267279862936,0.0640967385044782,0.0813942688579219,0.0148978511814191,0.0598566612631178,0.134557712185885,-0.0101593439119815,0.0621298140758661,0.243157726083401,0.0774604186654432
"D01A2",0.0560605051897146,0.0348335549730165,0.0931618648853183,-0.0881401648525037,-0.107654484148113,0.161077177583084,0.0288609940997992,0.00929337867915082,-0.0223734581644836,-0.0218860628554311,0.00333665091800111,0.0168332551253947,-0.00904868449771538,0.05313521389774,0.0419348108433318,0.0445630686200365,0.409552780759654,0.358536129098588,0.142295938215813
"D01A3",-0.0419490481985075,-0.0441202241844679,0.111482882674931,0.0374350153440253,-0.0289659617264952,0.00301150795330174,-0.0867778925508045,0.0357172367264607,-0.00516621317234801,-0.0724956826139968,-0.114839021628035,-0.0210920132154077,0.0413973337418777,0.0122404623296744,0.0710150182529288,0.0494045990135602,-0.0143886357374061,-0.0128149252464443,-0.0837457254566768
"D01A4",0.251171529444897,0.121074806457871,0.0651778489043547,0.0847238184094326,0.00647094894945299,-0.0377868854996306,-0.0874361725993763,-0.148508281388644,-0.120035941314596,-0.112276577809223,-0.0350280964580846,0.00829322036044556,-0.0114976292067281,0.000962394384636875,0.096948509056391,-0.0518712748927808,0.017791074232081,0.0275676578314585,0.224234893530837
