"module","trait","correlation","padj"
"MEsalmon","1x",-0.390053186933494,9.8539535029884e-06
"MEsalmon","10x",0.366261335471103,2.8852336743521e-05
"MEturquoise","1x",-0.441749545008482,3.23716822412516e-07
"MEturquoise","10x",0.387653452469913,9.8539535029884e-06
"MEgreen","1x",-0.27467534078698,0.00362106779190998
"MEblack","1x",0.444108030938851,3.23716822412516e-07
"MEblack","10x",-0.365555766921101,2.8852336743521e-05
"MEcyan","1x",0.387958005000028,9.8539535029884e-06
"MEcyan","10x",-0.299789867539238,0.00116106923994532
"MEgrey60","1x",0.47500116217322,5.31017364186294e-08
"MEgrey60","10x",-0.377232008191353,1.72039236560456e-05
